"ID","N","BF"
1,1,1
2,1,1
3,3,0.249305231825549
4,4,0.198414584997851
5,5,0.294893118709761
6,6,0.263154930960805
7,7,0.214332262672813
8,8,0.195332350356612
9,9,0.199289861860481
10,10,0.159937902759966
11,11,0.143002523354199
12,12,0.125581453839541
13,13,0.13546500204278
14,14,0.120322222989865
15,15,0.115700470421972
16,16,0.101850024244306
17,17,0.092530969700225
18,18,0.12022191097824
19,19,0.108945900423469
20,20,0.106205154347615
21,21,0.0931145672162845
22,22,0.0930609474789362
23,23,0.0910987763685698
24,24,0.0805173262298571
25,25,0.0776453121116829
26,26,0.0737963192352399
27,27,0.0692617737090589
28,28,0.0636402973219322
29,29,0.0744445993584513
30,30,0.0821479700864746
31,31,0.0796781823816582
32,32,0.100029295448687
33,33,0.119142557393167
4711,34,0.107682107043872
4726,35,0.127601874079305
4731,36,0.142454534568599
4736,37,0.142352222970087
4745,38,0.164050233081626
4777,39,0.132674602074837
4826,40,0.139403593226734
4827,41,0.156574942891234
4868,42,0.138668074423566
4875,43,0.124496274776335
4878,44,0.104443724353768
4884,45,0.0969463592199357
4885,46,0.0910432595960225
4888,47,0.0872293797307104
4889,48,0.0916341362268448
4891,49,0.109480710083006
4895,50,0.115285982460929
4899,51,0.116280553211699
4901,52,0.10356798026533
4905,53,0.100651118307985
4909,54,0.0883905900382129
4917,55,0.082708995297419
4922,56,0.0836828543536443
4934,57,0.0810249254685839
4939,58,0.0815173819971427
4962,59,0.0861645290793347
4969,60,0.0878902292993398
4970,61,0.0809898952735442
4975,62,0.073507287658343
4982,63,0.0798549515932396
4995,64,0.0773374854690992
4997,65,0.0760053161037153
5000,66,0.0739591449857869
5002,67,0.0713670194966869
5026,68,0.0668193863613874
5032,69,0.0649370001850994
5033,70,0.0644783785836718
5038,71,0.0577532584083775
5040,72,0.0578341183514067
5048,73,0.0549857774963675
5054,74,0.0521638944424019
5060,75,0.0483034061941669
5061,76,0.0476052793237253
5067,77,0.0511366669818632
5070,78,0.0505799740147014
5071,79,0.0499783486702182
5075,80,0.0547072075695496
5079,81,0.0577217274165339
5080,82,0.0676512774349337
5083,83,0.0639393613993703
5084,84,0.0752347490031664
5099,85,0.0786341042811747
5125,86,0.0670504239981455
5136,87,0.0658246060491218
5140,88,0.0676392003331244
5155,89,0.060401992136134
5159,90,0.0634358680745703
