"Identical","LAB_SEED","Orientation1","Orientation2","PPList","Picture1","Picture2","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_Pictures_response","correct_Start_SPA","correct_Target_response_Prac","correct_Welcome_PP_SPA","correct_count","correct_response","count_Check_This","count_Disable_Mouse","count_EXP","count_LAB_SEED","count_Language_Selection","count_List_Select","count_List_Selection","count_Pictures_Break","count_Pictures_End","count_Pictures_Exp","count_Pictures_Fixation","count_Pictures_Fixation_Prac","count_Pictures_Prac","count_Pictures_Start","count_Pictures_Target","count_Pictures_Trial","count_Pictures_Welcome","count_Pictures_loop","count_Pictures_response","count_Pictures_response_correct","count_Pictures_response_noans","count_Pictures_response_wrong","count_Prac","count_Prac_Count","count_Prac_Reset","count_Prac_Trial","count_Prac_loop","count_Prac_seq","count_Prac_setup","count_Start_DE","count_Start_E","count_Start_ELL","count_Start_HIN","count_Start_HUN","count_Start_NOR","count_Start_PL","count_Start_POR","count_Start_SC","count_Start_SPA","count_Start_TC","count_Start_THAI","count_Start_TUR","count_Target_Prac","count_Target_response_Prac","count_Target_response_correct_Prac","count_Target_response_noans_Prac","count_Target_response_wrong_Prac","count_Trial_logger","count_Welcome_PP_DE","count_Welcome_PP_E","count_Welcome_PP_ELL","count_Welcome_PP_HIN","count_Welcome_PP_HUN","count_Welcome_PP_NOR","count_Welcome_PP_PL","count_Welcome_PP_POR","count_Welcome_PP_SC","count_Welcome_PP_SPA","count_Welcome_PP_TC","count_Welcome_PP_THAI","count_Welcome_PP_TUR","datetime","de","description","disable_garbage_collection","ell","empty_column","en","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","height","hin","hun","keyboard_backend","live_row","live_row_Pictures_loop","live_row_Prac","live_row_Prac_loop","logfile","mouse_backend","nor","opensesame_codename","opensesame_version","osf_always_upload_experiment","osf_id","pol","por","repeat_cycle","reset_loop","response","response_Pictures_Break","response_Pictures_End","response_Pictures_response","response_Start_DE","response_Start_E","response_Start_ELL","response_Start_HIN","response_Start_HUN","response_Start_NOR","response_Start_PL","response_Start_POR","response_Start_SC","response_Start_SPA","response_Start_TC","response_Start_THAI","response_Start_TUR","response_Target_response_Prac","response_Welcome_PP_DE","response_Welcome_PP_E","response_Welcome_PP_ELL","response_Welcome_PP_HIN","response_Welcome_PP_HUN","response_Welcome_PP_NOR","response_Welcome_PP_PL","response_Welcome_PP_POR","response_Welcome_PP_SC","response_Welcome_PP_SPA","response_Welcome_PP_TC","response_Welcome_PP_THAI","response_Welcome_PP_TUR","response_time","response_time_Pictures_Break","response_time_Pictures_End","response_time_Pictures_response","response_time_Start_DE","response_time_Start_E","response_time_Start_ELL","response_time_Start_HIN","response_time_Start_HUN","response_time_Start_NOR","response_time_Start_PL","response_time_Start_POR","response_time_Start_SC","response_time_Start_SPA","response_time_Start_TC","response_time_Start_THAI","response_time_Start_TUR","response_time_Target_response_Prac","response_time_Welcome_PP_DE","response_time_Welcome_PP_E","response_time_Welcome_PP_ELL","response_time_Welcome_PP_HIN","response_time_Welcome_PP_HUN","response_time_Welcome_PP_NOR","response_time_Welcome_PP_PL","response_time_Welcome_PP_POR","response_time_Welcome_PP_SC","response_time_Welcome_PP_SPA","response_time_Welcome_PP_TC","response_time_Welcome_PP_THAI","response_time_Welcome_PP_TUR","round_decimals","sampler_backend","sc","sound_buf_size","sound_channels","sound_freq","sound_sample_size","spa","start","subject_nr","subject_parity","tc","thai","time_Check_This","time_Disable_Mouse","time_EXP","time_LAB_SEED","time_Language_Selection","time_List_Select","time_List_Selection","time_Pictures_Break","time_Pictures_End","time_Pictures_Exp","time_Pictures_Fixation","time_Pictures_Fixation_Prac","time_Pictures_Prac","time_Pictures_Start","time_Pictures_Target","time_Pictures_Trial","time_Pictures_Welcome","time_Pictures_loop","time_Pictures_response","time_Pictures_response_correct","time_Pictures_response_noans","time_Pictures_response_wrong","time_Prac","time_Prac_Count","time_Prac_Reset","time_Prac_Trial","time_Prac_loop","time_Prac_seq","time_Prac_setup","time_Start_DE","time_Start_E","time_Start_ELL","time_Start_HIN","time_Start_HUN","time_Start_NOR","time_Start_PL","time_Start_POR","time_Start_SC","time_Start_SPA","time_Start_TC","time_Start_THAI","time_Start_TUR","time_Target_Prac","time_Target_response_Prac","time_Target_response_correct_Prac","time_Target_response_noans_Prac","time_Target_response_wrong_Prac","time_Trial_logger","time_Welcome_PP_DE","time_Welcome_PP_E","time_Welcome_PP_ELL","time_Welcome_PP_HIN","time_Welcome_PP_HUN","time_Welcome_PP_NOR","time_Welcome_PP_PL","time_Welcome_PP_POR","time_Welcome_PP_SC","time_Welcome_PP_SPA","time_Welcome_PP_TC","time_Welcome_PP_THAI","time_Welcome_PP_TUR","title","total_correct","total_response_time","total_responses","tur","uniform_coordinates","width"
"F","5747","F","F","PP_LIST4.csv","ftball.jpg","nut.jpg","84.6153846154","84.6153846154","863.307692308","863.307692308","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","11","2","11","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","11","11","11","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12/12/19 10:06:22","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\PRACTICAS\Desktop\Experiment","no","mono","no","18","no","#0000ff","no","Español","yes","768","no","no","legacy","0","0","3","5","C:/Users/PRACTICAS/Desktop/Experiment/Data/COL_001_pP_054.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","f","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","1021","NA","NA","1021","NA","NA","NA","NA","NA","NA","NA","NA","NA","5859","NA","NA","NA","701","NA","NA","NA","NA","NA","NA","NA","NA","NA","13482","NA","NA","NA","2","legacy","no","1024","2","48000","-16","yes","EXP","54","even","no","no","NA","14588","8062","8065","11959","14554","14554","NA","NA","59182","59472","51475","28107","53286","59976","59467","14589","59182","59977","61002","NA","NA","28108","53186","41612","51471","41613","41612","28108","NA","NA","NA","NA","NA","NA","NA","NA","NA","53291","NA","NA","NA","51979","51979","52685","NA","41032","61502","NA","NA","NA","NA","NA","NA","NA","NA","NA","14594","NA","NA","NA","Orientation_PSA2018","11","11223","13","no","yes","1024"
"F","5747","F","F","PP_LIST4.csv","tapedispenser.jpg","wrench.jpg","85.7142857143","85.7142857143","852.928571429","852.928571429","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","1","0","1","11","0","0","1","1","0","0","1","1","1","1","0","11","2","11","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","11","11","11","11","1","0","0","0","0","0","0","0","0","0","0","0","0","0","12/12/19 10:06:22","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\PRACTICAS\Desktop\Experiment","no","mono","no","18","no","#0000ff","no","Español","yes","768","no","no","legacy","1","1","3","5","C:/Users/PRACTICAS/Desktop/Experiment/Data/COL_001_pP_054.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","f","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","718","NA","NA","718","NA","NA","NA","NA","NA","NA","NA","NA","NA","5859","NA","NA","NA","701","NA","NA","NA","NA","NA","NA","NA","NA","NA","13482","NA","NA","NA","2","legacy","no","1024","2","48000","-16","yes","EXP","54","even","no","no","NA","14588","8062","8065","11959","14554","14554","NA","NA","59182","61895","51475","28107","53286","62407","61885","14589","59182","62407","63129","NA","NA","28108","53186","41612","51471","41613","41612","28108","NA","NA","NA","NA","NA","NA","NA","NA","NA","53291","NA","NA","NA","51979","51979","52685","NA","41032","63629","NA","NA","NA","NA","NA","NA","NA","NA","NA","14594","NA","NA","NA","Orientation_PSA2018","12","11941","14","no","yes","1024"
"F","5747","F","F","PP_LIST4.csv","skirt.jpg","tlphon.jpg","86.6666666667","86.6666666667","836.933333333","836.933333333","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","2","0","2","11","0","0","2","2","0","0","2","2","2","2","0","11","2","11","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","11","11","11","11","2","0","0","0","0","0","0","0","0","0","0","0","0","0","12/12/19 10:06:22","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\PRACTICAS\Desktop\Experiment","no","mono","no","18","no","#0000ff","no","Español","yes","768","no","no","legacy","2","2","3","5","C:/Users/PRACTICAS/Desktop/Experiment/Data/COL_001_pP_054.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","f","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","613","NA","NA","613","NA","NA","NA","NA","NA","NA","NA","NA","NA","5859","NA","NA","NA","701","NA","NA","NA","NA","NA","NA","NA","NA","NA","13482","NA","NA","NA","2","legacy","no","1024","2","48000","-16","yes","EXP","54","even","no","no","NA","14588","8062","8065","11959","14554","14554","NA","NA","59182","63947","51475","28107","53286","64451","63942","14589","59182","64452","65071","NA","NA","28108","53186","41612","51471","41613","41612","28108","NA","NA","NA","NA","NA","NA","NA","NA","NA","53291","NA","NA","NA","51979","51979","52685","NA","41032","65571","NA","NA","NA","NA","NA","NA","NA","NA","NA","14594","NA","NA","NA","Orientation_PSA2018","13","12554","15","no","yes","1024"
"F","5747","F","F","PP_LIST4.csv","knife.jpg","ladder.jpg","87.5","87.5","819.3125","819.3125","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","3","0","3","11","0","0","3","3","0","0","3","3","3","3","0","11","2","11","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","11","11","11","11","3","0","0","0","0","0","0","0","0","0","0","0","0","0","12/12/19 10:06:22","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\PRACTICAS\Desktop\Experiment","no","mono","no","18","no","#0000ff","no","Español","yes","768","no","no","legacy","3","3","3","5","C:/Users/PRACTICAS/Desktop/Experiment/Data/COL_001_pP_054.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","f","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","555","NA","NA","555","NA","NA","NA","NA","NA","NA","NA","NA","NA","5859","NA","NA","NA","701","NA","NA","NA","NA","NA","NA","NA","NA","NA","13482","NA","NA","NA","2","legacy","no","1024","2","48000","-16","yes","EXP","54","even","no","no","NA","14588","8062","8065","11959","14554","14554","NA","NA","59182","65883","51475","28107","53286","66387","65878","14589","59182","66388","66949","NA","NA","28108","53186","41612","51471","41613","41612","28108","NA","NA","NA","NA","NA","NA","NA","NA","NA","53291","NA","NA","NA","51979","51979","52685","NA","41032","67449","NA","NA","NA","NA","NA","NA","NA","NA","NA","14594","NA","NA","NA","Orientation_PSA2018","14","13109","16","no","yes","1024"
"F","5747","F","F","PP_LIST4.csv","wndmil.jpg","mitten.jpg","88.2352941176","88.2352941176","804.058823529","804.058823529","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","4","0","4","11","0","0","4","4","0","0","4","4","4","4","0","11","2","11","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","11","11","11","11","4","0","0","0","0","0","0","0","0","0","0","0","0","0","12/12/19 10:06:22","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\PRACTICAS\Desktop\Experiment","no","mono","no","18","no","#0000ff","no","Español","yes","768","no","no","legacy","4","4","3","5","C:/Users/PRACTICAS/Desktop/Experiment/Data/COL_001_pP_054.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","f","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","560","NA","NA","560","NA","NA","NA","NA","NA","NA","NA","NA","NA","5859","NA","NA","NA","701","NA","NA","NA","NA","NA","NA","NA","NA","NA","13482","NA","NA","NA","2","legacy","no","1024","2","48000","-16","yes","EXP","54","even","no","no","NA","14588","8062","8065","11959","14554","14554","NA","NA","59182","67786","51475","28107","53286","68291","67782","14589","59182","68292","68858","NA","NA","28108","53186","41612","51471","41613","41612","28108","NA","NA","NA","NA","NA","NA","NA","NA","NA","53291","NA","NA","NA","51979","51979","52685","NA","41032","69358","NA","NA","NA","NA","NA","NA","NA","NA","NA","14594","NA","NA","NA","Orientation_PSA2018","15","13669","17","no","yes","1024"
"Y","5747","V","V","PP_LIST4.csv","glassV.jpg","glassV.jpg","88.8888888889","88.8888888889","789.444444444","789.444444444","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","5","0","5","11","0","0","5","5","0","0","5","5","5","5","0","11","2","11","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","11","11","11","11","5","0","0","0","0","0","0","0","0","0","0","0","0","0","12/12/19 10:06:22","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\PRACTICAS\Desktop\Experiment","no","mono","no","18","no","#0000ff","no","Español","yes","768","no","no","legacy","5","5","3","5","C:/Users/PRACTICAS/Desktop/Experiment/Data/COL_001_pP_054.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","j","NA","NA","j","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","541","NA","NA","541","NA","NA","NA","NA","NA","NA","NA","NA","NA","5859","NA","NA","NA","701","NA","NA","NA","NA","NA","NA","NA","NA","NA","13482","NA","NA","NA","2","legacy","no","1024","2","48000","-16","yes","EXP","54","even","no","no","NA","14588","8062","8065","11959","14554","14554","NA","NA","59182","69701","51475","28107","53286","70205","69696","14589","59182","70206","70751","NA","NA","28108","53186","41612","51471","41613","41612","28108","NA","NA","NA","NA","NA","NA","NA","NA","NA","53291","NA","NA","NA","51979","51979","52685","NA","41032","71251","NA","NA","NA","NA","NA","NA","NA","NA","NA","14594","NA","NA","NA","Orientation_PSA2018","16","14210","18","no","yes","1024"
"Y","5747","H","H","PP_LIST4.csv","fire_extinguisherH.jpg","fire_extinguisherH.jpg","84.2105263158","84.2105263158","774.105263158","774.105263158","#ffffff","yes","legacy","legacy","legacy","0","uniform","0","0","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","6","0","6","11","0","0","6","6","0","0","6","6","6","6","0","11","2","11","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","11","11","11","11","6","0","0","0","0","0","0","0","0","0","0","0","0","0","12/12/19 10:06:22","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\PRACTICAS\Desktop\Experiment","no","mono","no","18","no","#0000ff","no","Español","yes","768","no","no","legacy","6","6","3","5","C:/Users/PRACTICAS/Desktop/Experiment/Data/COL_001_pP_054.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","f","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","498","NA","NA","498","NA","NA","NA","NA","NA","NA","NA","NA","NA","5859","NA","NA","NA","701","NA","NA","NA","NA","NA","NA","NA","NA","NA","13482","NA","NA","NA","2","legacy","no","1024","2","48000","-16","yes","EXP","54","even","no","no","NA","14588","8062","8065","11959","14554","14554","NA","NA","59182","71582","51475","28107","53286","72085","71578","14589","59182","72085","70751","NA","72588","28108","53186","41612","51471","41613","41612","28108","NA","NA","NA","NA","NA","NA","NA","NA","NA","53291","NA","NA","NA","51979","51979","52685","NA","41032","73089","NA","NA","NA","NA","NA","NA","NA","NA","NA","14594","NA","NA","NA","Orientation_PSA2018","16","14708","19","no","yes","1024"
"F","5747","F","F","PP_LIST4.csv","mitten.jpg","needle.jpg","85","85","770.95","770.95","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","7","0","7","11","0","0","7","7","0","0","7","7","7","7","0","11","2","11","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","11","11","11","11","7","0","0","0","0","0","0","0","0","0","0","0","0","0","12/12/19 10:06:22","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\PRACTICAS\Desktop\Experiment","no","mono","no","18","no","#0000ff","no","Español","yes","768","no","no","legacy","7","7","3","5","C:/Users/PRACTICAS/Desktop/Experiment/Data/COL_001_pP_054.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","f","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","711","NA","NA","711","NA","NA","NA","NA","NA","NA","NA","NA","NA","5859","NA","NA","NA","701","NA","NA","NA","NA","NA","NA","NA","NA","NA","13482","NA","NA","NA","2","legacy","no","1024","2","48000","-16","yes","EXP","54","even","no","no","NA","14588","8062","8065","11959","14554","14554","NA","NA","59182","73422","51475","28107","53286","73926","73417","14589","59182","73927","74644","NA","72588","28108","53186","41612","51471","41613","41612","28108","NA","NA","NA","NA","NA","NA","NA","NA","NA","53291","NA","NA","NA","51979","51979","52685","NA","41032","75144","NA","NA","NA","NA","NA","NA","NA","NA","NA","14594","NA","NA","NA","Orientation_PSA2018","17","15419","20","no","yes","1024"
"F","5747","F","F","PP_LIST4.csv","needle.jpg","tiger.jpg","85.7142857143","85.7142857143","766","766","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","8","0","8","11","0","0","8","8","0","0","8","8","8","8","0","11","2","11","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","11","11","11","11","8","0","0","0","0","0","0","0","0","0","0","0","0","0","12/12/19 10:06:22","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\PRACTICAS\Desktop\Experiment","no","mono","no","18","no","#0000ff","no","Español","yes","768","no","no","legacy","8","8","3","5","C:/Users/PRACTICAS/Desktop/Experiment/Data/COL_001_pP_054.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","f","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","667","NA","NA","667","NA","NA","NA","NA","NA","NA","NA","NA","NA","5859","NA","NA","NA","701","NA","NA","NA","NA","NA","NA","NA","NA","NA","13482","NA","NA","NA","2","legacy","no","1024","2","48000","-16","yes","EXP","54","even","no","no","NA","14588","8062","8065","11959","14554","14554","NA","NA","59182","75457","51475","28107","53286","75961","75453","14589","59182","75962","76635","NA","72588","28108","53186","41612","51471","41613","41612","28108","NA","NA","NA","NA","NA","NA","NA","NA","NA","53291","NA","NA","NA","51979","51979","52685","NA","41032","77135","NA","NA","NA","NA","NA","NA","NA","NA","NA","14594","NA","NA","NA","Orientation_PSA2018","18","16086","21","no","yes","1024"
"Y","5747","H","H","PP_LIST4.csv","brushH.jpg","brushH.jpg","86.3636363636","86.3636363636","755.090909091","755.090909091","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","9","0","9","11","0","0","9","9","0","0","9","9","9","9","0","11","2","11","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","11","11","11","11","9","0","0","0","0","0","0","0","0","0","0","0","0","0","12/12/19 10:06:22","no","Matching Tasks","yes","no","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\PRACTICAS\Desktop\Experiment","no","mono","no","18","no","#0000ff","no","Español","yes","768","no","no","legacy","9","9","3","5","C:/Users/PRACTICAS/Desktop/Experiment/Data/COL_001_pP_054.csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","j","NA","NA","j","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","NA","NA","NA","526","NA","NA","526","NA","NA","NA","NA","NA","NA","NA","NA","NA","5859","NA","NA","NA","701","NA","NA","NA","NA","NA","NA","NA","NA","NA","13482","NA","NA","NA","2","legacy","no","1024","2","48000","-16","yes","EXP","54","even","no","no","NA","14588","8062","8065","11959","14554","14554","NA","NA","59182","77453","51475","28107","53286","77958","77449","14589","59182","77958","78489","NA","72588","28108","53186","41612","51471","41613","41612","28108","NA","NA","NA","NA","NA","NA","NA","NA","NA","53291","NA","NA","NA","51979","51979","52685","NA","41032","78989","NA","NA","NA","NA","NA","NA","NA","NA","NA","14594","NA","NA","NA","Orientation_PSA2018","19","16612","22","no","yes","1024"
