SEED,SUBJID,Sequence,DATE,SIGN,round
6652,1,002_SP -> 002_PP -> 003,31-Oct-19,DL,1
6652,2,003 -> 002_SP -> 002_PP,31-Oct-19,DL,1
6652,3,002_SP -> 002_PP -> 003,31-Oct-19,DL,1
6652,4,003 -> 002_SP -> 002_PP,31-Oct-19,DL,1
6652,5,002_SP -> 002_PP -> 003,31-Oct-19,DL,1
6652,6,002_SP -> 002_PP -> 003,31-Oct-19,DL,1
6652,7,002_SP -> 002_PP -> 003,31-Oct-19,DL,1
6652,8,003 -> 002_SP -> 002_PP,31-Oct-19,DL,1
6652,9,003 -> 002_SP -> 002_PP,31-Oct-19,DL,1
6652,10,003 -> 002_SP -> 002_PP,31-Oct-19,DL,1
6652,11,003 -> 002_SP -> 002_PP,31-Oct-19,DL,1
6652,12,003 -> 002_SP -> 002_PP,08-Nov-19,DL,1
6652,13,002_SP -> 002_PP -> 003,08-Nov-19,DL,1
6652,14,003 -> 002_SP -> 002_PP,08-Nov-19,DL,1
6652,15,003 -> 002_SP -> 002_PP,08-Nov-19,DL,1
6652,16,003 -> 002_SP -> 002_PP,08-Nov-19,DL,1
6652,17,002_SP -> 002_PP -> 003,08-Nov-19,DL,1
6652,18,002_SP -> 002_PP -> 003,08-Nov-19,DL,1
6652,19,003 -> 002_SP -> 002_PP,08-Nov-19,DL,1
6652,20,002_SP -> 002_PP -> 003,08-Nov-19,DL,1
6652,21,002_SP -> 002_PP -> 003,08-Nov-19,DL,1
6652,22,003 -> 002_SP -> 002_PP,08-Nov-19,DL,1
6652,23,003 -> 002_SP -> 002_PP,08-Nov-19,DL,1
6652,24,003 -> 002_SP -> 002_PP,08-Nov-19,DL,1
6652,25,002_SP -> 002_PP -> 003,08-Nov-19,DL,1
6652,26,003 -> 002_SP -> 002_PP,08-Nov-19,DL,1
6652,27,003 -> 002_SP -> 002_PP,08-Nov-19,DL,1
6652,28,003 -> 002_SP -> 002_PP,08-Nov-19,DL,1
6652,29,002_SP -> 002_PP -> 003,08-Nov-19,DL,1
6652,30,003 -> 002_SP -> 002_PP,15-Nov-19,DL,1
6652,31,002_SP -> 002_PP -> 003,15-Nov-19,DL,1
6652,32,002_SP -> 002_PP -> 003,15-Nov-19,DL,1
6652,33,003 -> 002_SP -> 002_PP,15-Nov-19,DL,1
6652,34,002_SP -> 002_PP -> 003,15-Nov-19,DL,1
6652,35,002_SP -> 002_PP -> 003,15-Nov-19,DL,1
6652,36,003 -> 002_SP -> 002_PP,15-Nov-19,DL,1
6652,37,003 -> 002_SP -> 002_PP,15-Nov-19,DL,1
6652,38,002_SP -> 002_PP -> 003,15-Nov-19,DL,1
6652,39,003 -> 002_SP -> 002_PP,15-Nov-19,DL,1
6652,40,002_SP -> 002_PP -> 003,15-Nov-19,DL,1
6652,41,002_SP -> 002_PP -> 003,15-Nov-19,DL,1
6652,42,002_SP -> 002_PP -> 003,15-Nov-19,DL,1
6652,43,002_SP -> 002_PP -> 003,15-Nov-19,DL,1
6652,44,002_SP -> 002_PP -> 003,15-Nov-19,DL,1
6652,45,002_SP -> 002_PP -> 003,15-Nov-19,DL,1
6652,46,003 -> 002_SP -> 002_PP,15-Nov-19,DL,1
6652,47,002_SP -> 002_PP -> 003,15-Nov-19,DL,1
6652,48,003 -> 002_SP -> 002_PP,15-Nov-19,DL,1
6652,49,003 -> 002_SP -> 002_PP,15-Nov-19,DL,1
6652,50,003 -> 002_SP -> 002_PP,15-Nov-19,DL,1
6652,51,003 -> 002_SP -> 002_PP,15-Nov-19,DL,2
6652,52,002_SP -> 002_PP -> 003,15-Nov-19,DL,2
6652,53,003 -> 002_SP -> 002_PP,15-Nov-19,DL,2
6652,54,003 -> 002_SP -> 002_PP,,,2
6652,55,002_SP -> 002_PP -> 003,,,2
6652,56,003 -> 002_SP -> 002_PP,,,2
6652,57,003 -> 002_SP -> 002_PP,,,2
6652,58,002_SP -> 002_PP -> 003,,,2
6652,59,002_SP -> 002_PP -> 003,,,2
6652,60,003 -> 002_SP -> 002_PP,,,2
6652,61,002_SP -> 002_PP -> 003,,,2
6652,62,003 -> 002_SP -> 002_PP,,,2
6652,63,002_SP -> 002_PP -> 003,,,2
6652,64,002_SP -> 002_PP -> 003,,,2
6652,65,002_SP -> 002_PP -> 003,,,2
6652,66,003 -> 002_SP -> 002_PP,,,2
6652,67,002_SP -> 002_PP -> 003,,,2
6652,68,002_SP -> 002_PP -> 003,,,2
6652,69,003 -> 002_SP -> 002_PP,,,2
6652,70,003 -> 002_SP -> 002_PP,,,2
6652,71,003 -> 002_SP -> 002_PP,,,2
6652,72,002_SP -> 002_PP -> 003,,,2
6652,73,003 -> 002_SP -> 002_PP,,,2
6652,74,002_SP -> 002_PP -> 003,,,2
6652,75,003 -> 002_SP -> 002_PP,,,2
6652,76,003 -> 002_SP -> 002_PP,,,2
6652,77,002_SP -> 002_PP -> 003,,,2
6652,78,002_SP -> 002_PP -> 003,,,2
6652,79,003 -> 002_SP -> 002_PP,,,2
6652,80,003 -> 002_SP -> 002_PP,,,2
6652,81,002_SP -> 002_PP -> 003,,,3
6652,82,003 -> 002_SP -> 002_PP,,,3
6652,83,002_SP -> 002_PP -> 003,,,3
6652,84,003 -> 002_SP -> 002_PP,,,3
6652,85,002_SP -> 002_PP -> 003,,,3
6652,86,003 -> 002_SP -> 002_PP,,,3
6652,87,002_SP -> 002_PP -> 003,,,3
6652,88,002_SP -> 002_PP -> 003,,,3
6652,89,003 -> 002_SP -> 002_PP,,,3
6652,90,002_SP -> 002_PP -> 003,,,3
6652,91,003 -> 002_SP -> 002_PP,,,3
6652,92,003 -> 002_SP -> 002_PP,,,3
6652,93,002_SP -> 002_PP -> 003,,,3
6652,94,002_SP -> 002_PP -> 003,,,3
6652,95,003 -> 002_SP -> 002_PP,,,3
6652,96,003 -> 002_SP -> 002_PP,,,3
6652,97,002_SP -> 002_PP -> 003,,,3
6652,98,002_SP -> 002_PP -> 003,,,3
6652,99,002_SP -> 002_PP -> 003,,,3
6652,100,002_SP -> 002_PP -> 003,,,3
