"ID","N","BF"
1,1,1
2,1,1
3,3,0.319042255291469
4,4,0.306691031008444
5,5,0.344399550143311
6,6,0.357400947331367
7,7,0.587215626670801
8,8,0.999620767407782
9,9,0.557389170029579
10,10,0.469940894132824
11,11,0.449117120885425
12,12,0.359086103527676
13,13,0.348304211942257
14,14,0.214988129695949
15,15,0.189124754012477
16,16,0.143258894424765
17,17,0.116269692387878
18,18,0.111507697329449
19,19,0.104628922986469
20,20,0.11370008112013
21,21,0.100780426009614
22,22,0.0974987781303663
23,23,0.0887723388200976
24,24,0.0869298255675736
25,25,0.087428940474571
26,26,0.0840263339899976
27,27,0.0799079924713794
28,28,0.075807786935746
29,29,0.0708820081998577
30,30,0.0755344272929033
31,31,0.0755796301180209
32,32,0.0749581299571756
33,33,0.0756563905250878
34,34,0.0747098491179918
35,35,0.071600557019588
37,36,0.0710619415007702
38,37,0.0660571752843776
39,38,0.0643442746517345
40,39,0.0612290035459311
41,40,0.0623562203255219
42,41,0.0597754371975803
43,42,0.0608356678409096
44,43,0.0619917147284564
45,44,0.0678176449935667
46,45,0.0660425188675131
47,46,0.0676594755082753
48,47,0.0661904662883369
49,48,0.0663080456443791
50,49,0.0611545025459141
51,50,0.0595852907158387
52,51,0.0596509479054658
53,52,0.0650320367959075
