"ID","N","BF"
31,1,1
112,1,1
120,3,0.742355955012854
125,4,1.25102896371465
126,5,0.379961790195899
133,6,0.421412464247219
141,7,0.489649995707951
142,8,0.501511090553215
143,9,0.639854973730088
145,10,0.649088480888329
146,11,0.561900040920078
148,12,0.720974512200729
150,13,0.897443806418117
151,14,0.745871946310413
152,15,0.667470268733377
309,16,0.778558601136967
312,17,0.701848901718549
321,18,0.478016721745336
325,19,0.522648009845118
326,20,0.755837130144047
327,21,0.622104062287627
333,22,0.552210225721985
359,23,0.570949286124123
1639,24,0.916798955418671
1644,25,1.31043923343065
1646,26,1.40187239144376
1647,27,1.22452382079769
1652,28,0.942864986186014
1653,29,1.16586879151219
1660,30,1.2964623178008
1661,31,1.82522100142832
1664,32,1.92370152466513
1666,33,1.31494861694071
1667,34,1.33167401154574
1670,35,0.466592637763862
1671,36,0.577250899700654
1683,37,0.389887013169177
1686,38,0.419421115974684
1687,39,0.392244944318334
1688,40,0.296751907707868
1695,41,0.285496722409762
1697,42,0.401584514752601
1702,43,0.318852347629411
1711,44,0.185273362006288
1712,45,0.167598518587458
1723,46,0.140711752737971
1762,47,0.128576865402804
1770,48,0.119381966799381
2131,49,0.11999326765436
