"Identical","LAB_SEED","Orientation1","Orientation2","PPList","Picture1","Picture2","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_Pictures_response","correct_Start_E","correct_Target_response_Prac","correct_Welcome_PP_E","correct_count","correct_response","count_Check_This","count_Disable_Mouse","count_EXP","count_LAB_SEED","count_Language_Selection","count_List_Select","count_List_Selection","count_Pictures_Break","count_Pictures_End","count_Pictures_Exp","count_Pictures_Fixation","count_Pictures_Fixation_Prac","count_Pictures_Prac","count_Pictures_Start","count_Pictures_Target","count_Pictures_Trial","count_Pictures_Welcome","count_Pictures_loop","count_Pictures_response","count_Pictures_response_correct","count_Pictures_response_noans","count_Pictures_response_wrong","count_Prac","count_Prac_Count","count_Prac_Reset","count_Prac_Trial","count_Prac_loop","count_Prac_seq","count_Prac_setup","count_Start_DE","count_Start_E","count_Start_NOB","count_Start_PL","count_Start_SC","count_Start_TC","count_Target_Prac","count_Target_response_Prac","count_Target_response_correct_Prac","count_Target_response_noans_Prac","count_Target_response_wrong_Prac","count_Trial_logger","count_Welcome_PP_DE","count_Welcome_PP_E","count_Welcome_PP_NOB","count_Welcome_PP_PL","count_Welcome_PP_SC","count_Welcome_PP_TC","count_postdata_E","count_postdata_TC","datetime","description","disable_garbage_collection","empty_column","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","height","keyboard_backend","language1","language2","language3","language4","language5","language6","live_row","live_row_Pictures_loop","live_row_Prac","live_row_Prac_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","osf_always_upload_experiment","osf_id","repeat_cycle","reset_loop","response","response_Pictures_Break","response_Pictures_End","response_Pictures_response","response_Start_DE","response_Start_E","response_Start_NOB","response_Start_PL","response_Start_SC","response_Start_TC","response_Target_response_Prac","response_Welcome_PP_DE","response_Welcome_PP_E","response_Welcome_PP_NOB","response_Welcome_PP_PL","response_Welcome_PP_SC","response_Welcome_PP_TC","response_time","response_time_Pictures_Break","response_time_Pictures_End","response_time_Pictures_response","response_time_Start_DE","response_time_Start_E","response_time_Start_NOB","response_time_Start_PL","response_time_Start_SC","response_time_Start_TC","response_time_Target_response_Prac","response_time_Welcome_PP_DE","response_time_Welcome_PP_E","response_time_Welcome_PP_NOB","response_time_Welcome_PP_PL","response_time_Welcome_PP_SC","response_time_Welcome_PP_TC","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_Check_This","time_Disable_Mouse","time_EXP","time_LAB_SEED","time_Language_Selection","time_List_Select","time_List_Selection","time_Pictures_Break","time_Pictures_End","time_Pictures_Exp","time_Pictures_Fixation","time_Pictures_Fixation_Prac","time_Pictures_Prac","time_Pictures_Start","time_Pictures_Target","time_Pictures_Trial","time_Pictures_Welcome","time_Pictures_loop","time_Pictures_response","time_Pictures_response_correct","time_Pictures_response_noans","time_Pictures_response_wrong","time_Prac","time_Prac_Count","time_Prac_Reset","time_Prac_Trial","time_Prac_loop","time_Prac_seq","time_Prac_setup","time_Start_DE","time_Start_E","time_Start_NOB","time_Start_PL","time_Start_SC","time_Start_TC","time_Target_Prac","time_Target_response_Prac","time_Target_response_correct_Prac","time_Target_response_noans_Prac","time_Target_response_wrong_Prac","time_Trial_logger","time_Welcome_PP_DE","time_Welcome_PP_E","time_Welcome_PP_NOB","time_Welcome_PP_PL","time_Welcome_PP_SC","time_Welcome_PP_TC","time_postdata_E","time_postdata_TC","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"Y","8552","H","H","PP_LIST3.csv","keyH.jpg","keyH.jpg","87.5","87.5","917.125","917.125","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","6","1","6","1","1","0","0","0","0","0","0","0","6","6","6","6","6","0","0","0","0","0","0","0","NA","NA","09/26/19 11:42:21","Matching Tasks","yes","","PP.osexp","C:\Users\chopik\Desktop\Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","no","768","legacy","yes","no","no","no","no","no","0","0","2","5","C:/Users/chopik/Desktop/Scripts/PP Data/144.csv","legacy","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","0","0","j","NA","NA","j","NA","space","NA","NA","NA","NA","f","NA","space","NA","NA","NA","NA","651","NA","NA","651","NA","2149","NA","NA","NA","NA","747","NA","1774059","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","EXP","144","even","NA","6005","2013","2014","4772","5995","5995","NA","NA","1796988","1797099","1793051","1780076","1794827","1797600","1797097","6005","1796988","1797600","1798252","NA","NA","1780076","1794801","1783708","1793050","1783708","1783708","1780076","NA","1794829","NA","NA","NA","NA","1793552","1793552","1794300","1783187","1782686","1798752","NA","6007","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","7","7337","8","yes","1024"
"N","8552","H","V","PP_LIST3.csv","batH.jpg","batV.jpg","88.8888888889","88.8888888889","960.444444444","960.444444444","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","1","0","1","6","0","0","1","1","0","0","1","1","1","1","0","6","1","6","1","1","0","0","0","0","0","0","0","6","6","6","6","6","1","0","0","0","0","0","0","NA","NA","09/26/19 11:42:21","Matching Tasks","yes","","PP.osexp","C:\Users\chopik\Desktop\Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","no","768","legacy","yes","no","no","no","no","no","1","1","2","5","C:/Users/chopik/Desktop/Scripts/PP Data/144.csv","legacy","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","0","0","j","NA","NA","j","NA","space","NA","NA","NA","NA","f","NA","space","NA","NA","NA","NA","1307","NA","NA","1307","NA","2149","NA","NA","NA","NA","747","NA","1774059","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","EXP","144","even","NA","6005","2013","2014","4772","5995","5995","NA","NA","1796988","1798866","1793051","1780076","1794827","1799367","1798864","6005","1796988","1799367","1800676","NA","NA","1780076","1794801","1783708","1793050","1783708","1783708","1780076","NA","1794829","NA","NA","NA","NA","1793552","1793552","1794300","1783187","1782686","1801176","NA","6007","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","8","8644","9","yes","1024"
"F","8552","F","F","PP_LIST3.csv","couch.jpg","spider.jpg","90","90","936.7","936.7","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","2","0","2","6","0","0","2","2","0","0","2","2","2","2","0","6","1","6","1","1","0","0","0","0","0","0","0","6","6","6","6","6","2","0","0","0","0","0","0","NA","NA","09/26/19 11:42:21","Matching Tasks","yes","","PP.osexp","C:\Users\chopik\Desktop\Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","no","768","legacy","yes","no","no","no","no","no","2","2","2","5","C:/Users/chopik/Desktop/Scripts/PP Data/144.csv","legacy","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","0","0","f","NA","NA","f","NA","space","NA","NA","NA","NA","f","NA","space","NA","NA","NA","NA","723","NA","NA","723","NA","2149","NA","NA","NA","NA","747","NA","1774059","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","EXP","144","even","NA","6005","2013","2014","4772","5995","5995","NA","NA","1796988","1801275","1793051","1780076","1794827","1801776","1801274","6005","1796988","1801776","1802500","NA","NA","1780076","1794801","1783708","1793050","1783708","1783708","1780076","NA","1794829","NA","NA","NA","NA","1793552","1793552","1794300","1783187","1782686","1803000","NA","6007","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","9","9367","10","yes","1024"
"Y","8552","H","H","PP_LIST3.csv","glassH.jpg","glassH.jpg","90.9090909091","90.9090909091","916.909090909","916.909090909","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","3","0","3","6","0","0","3","3","0","0","3","3","3","3","0","6","1","6","1","1","0","0","0","0","0","0","0","6","6","6","6","6","3","0","0","0","0","0","0","NA","NA","09/26/19 11:42:21","Matching Tasks","yes","","PP.osexp","C:\Users\chopik\Desktop\Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","no","768","legacy","yes","no","no","no","no","no","3","3","2","5","C:/Users/chopik/Desktop/Scripts/PP Data/144.csv","legacy","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","0","0","j","NA","NA","j","NA","space","NA","NA","NA","NA","f","NA","space","NA","NA","NA","NA","719","NA","NA","719","NA","2149","NA","NA","NA","NA","747","NA","1774059","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","EXP","144","even","NA","6005","2013","2014","4772","5995","5995","NA","NA","1796988","1803110","1793051","1780076","1794827","1803611","1803108","6005","1796988","1803611","1804332","NA","NA","1780076","1794801","1783708","1793050","1783708","1783708","1780076","NA","1794829","NA","NA","NA","NA","1793552","1793552","1794300","1783187","1782686","1804832","NA","6007","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","10","10086","11","yes","1024"
"F","8552","F","F","PP_LIST3.csv","piano.jpg","sutcse.jpg","91.6666666667","91.6666666667","906.083333333","906.083333333","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","4","0","4","6","0","0","4","4","0","0","4","4","4","4","0","6","1","6","1","1","0","0","0","0","0","0","0","6","6","6","6","6","4","0","0","0","0","0","0","NA","NA","09/26/19 11:42:21","Matching Tasks","yes","","PP.osexp","C:\Users\chopik\Desktop\Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","no","768","legacy","yes","no","no","no","no","no","4","4","2","5","C:/Users/chopik/Desktop/Scripts/PP Data/144.csv","legacy","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","0","0","f","NA","NA","f","NA","space","NA","NA","NA","NA","f","NA","space","NA","NA","NA","NA","787","NA","NA","787","NA","2149","NA","NA","NA","NA","747","NA","1774059","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","EXP","144","even","NA","6005","2013","2014","4772","5995","5995","NA","NA","1796988","1804931","1793051","1780076","1794827","1805432","1804929","6005","1796988","1805432","1806221","NA","NA","1780076","1794801","1783708","1793050","1783708","1783708","1780076","NA","1794829","NA","NA","NA","NA","1793552","1793552","1794300","1783187","1782686","1806721","NA","6007","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","11","10873","12","yes","1024"
"N","8552","V","H","PP_LIST3.csv","brushV.jpg","brushH.jpg","92.3076923077","92.3076923077","896.846153846","896.846153846","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","5","0","5","6","0","0","5","5","0","0","5","5","5","5","0","6","1","6","1","1","0","0","0","0","0","0","0","6","6","6","6","6","5","0","0","0","0","0","0","NA","NA","09/26/19 11:42:21","Matching Tasks","yes","","PP.osexp","C:\Users\chopik\Desktop\Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","no","768","legacy","yes","no","no","no","no","no","5","5","2","5","C:/Users/chopik/Desktop/Scripts/PP Data/144.csv","legacy","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","0","0","j","NA","NA","j","NA","space","NA","NA","NA","NA","f","NA","space","NA","NA","NA","NA","786","NA","NA","786","NA","2149","NA","NA","NA","NA","747","NA","1774059","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","EXP","144","even","NA","6005","2013","2014","4772","5995","5995","NA","NA","1796988","1806820","1793051","1780076","1794827","1807321","1806819","6005","1796988","1807321","1808109","NA","NA","1780076","1794801","1783708","1793050","1783708","1783708","1780076","NA","1794829","NA","NA","NA","NA","1793552","1793552","1794300","1783187","1782686","1808609","NA","6007","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","12","11659","13","yes","1024"
"Y","8552","H","H","PP_LIST3.csv","guitarH.jpg","guitarH.jpg","92.8571428571","92.8571428571","877.5","877.5","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","6","0","6","6","0","0","6","6","0","0","6","6","6","6","0","6","1","6","1","1","0","0","0","0","0","0","0","6","6","6","6","6","6","0","0","0","0","0","0","NA","NA","09/26/19 11:42:21","Matching Tasks","yes","","PP.osexp","C:\Users\chopik\Desktop\Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","no","768","legacy","yes","no","no","no","no","no","6","6","2","5","C:/Users/chopik/Desktop/Scripts/PP Data/144.csv","legacy","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","0","0","j","NA","NA","j","NA","space","NA","NA","NA","NA","f","NA","space","NA","NA","NA","NA","626","NA","NA","626","NA","2149","NA","NA","NA","NA","747","NA","1774059","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","EXP","144","even","NA","6005","2013","2014","4772","5995","5995","NA","NA","1796988","1808707","1793051","1780076","1794827","1809208","1808706","6005","1796988","1809208","1809836","NA","NA","1780076","1794801","1783708","1793050","1783708","1783708","1780076","NA","1794829","NA","NA","NA","NA","1793552","1793552","1794300","1783187","1782686","1810336","NA","6007","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","13","12285","14","yes","1024"
"N","8552","V","H","PP_LIST3.csv","clothespinV.jpg","clothespinH.jpg","93.3333333333","93.3333333333","866.933333333","866.933333333","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","7","0","7","6","0","0","7","7","0","0","7","7","7","7","0","6","1","6","1","1","0","0","0","0","0","0","0","6","6","6","6","6","7","0","0","0","0","0","0","NA","NA","09/26/19 11:42:21","Matching Tasks","yes","","PP.osexp","C:\Users\chopik\Desktop\Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","no","768","legacy","yes","no","no","no","no","no","7","7","2","5","C:/Users/chopik/Desktop/Scripts/PP Data/144.csv","legacy","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","0","0","j","NA","NA","j","NA","space","NA","NA","NA","NA","f","NA","space","NA","NA","NA","NA","719","NA","NA","719","NA","2149","NA","NA","NA","NA","747","NA","1774059","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","EXP","144","even","NA","6005","2013","2014","4772","5995","5995","NA","NA","1796988","1810456","1793051","1780076","1794827","1810956","1810454","6005","1796988","1810956","1811677","NA","NA","1780076","1794801","1783708","1793050","1783708","1783708","1780076","NA","1794829","NA","NA","NA","NA","1793552","1793552","1794300","1783187","1782686","1812177","NA","6007","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","14","13004","15","yes","1024"
"F","8552","F","F","PP_LIST3.csv","knife.jpg","ladder.jpg","93.75","93.75","850.875","850.875","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","8","0","8","6","0","0","8","8","0","0","8","8","8","8","0","6","1","6","1","1","0","0","0","0","0","0","0","6","6","6","6","6","8","0","0","0","0","0","0","NA","NA","09/26/19 11:42:21","Matching Tasks","yes","","PP.osexp","C:\Users\chopik\Desktop\Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","no","768","legacy","yes","no","no","no","no","no","8","8","2","5","C:/Users/chopik/Desktop/Scripts/PP Data/144.csv","legacy","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","0","0","f","NA","NA","f","NA","space","NA","NA","NA","NA","f","NA","space","NA","NA","NA","NA","610","NA","NA","610","NA","2149","NA","NA","NA","NA","747","NA","1774059","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","EXP","144","even","NA","6005","2013","2014","4772","5995","5995","NA","NA","1796988","1812275","1793051","1780076","1794827","1812776","1812274","6005","1796988","1812776","1813388","NA","NA","1780076","1794801","1783708","1793050","1783708","1783708","1780076","NA","1794829","NA","NA","NA","NA","1793552","1793552","1794300","1783187","1782686","1813888","NA","6007","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","15","13614","16","yes","1024"
"F","8552","F","F","PP_LIST3.csv","watch.jpg","skirt.jpg","94.1176470588","94.1176470588","832.176470588","832.176470588","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","9","0","9","6","0","0","9","9","0","0","9","9","9","9","0","6","1","6","1","1","0","0","0","0","0","0","0","6","6","6","6","6","9","0","0","0","0","0","0","NA","NA","09/26/19 11:42:21","Matching Tasks","yes","","PP.osexp","C:\Users\chopik\Desktop\Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","no","768","legacy","yes","no","no","no","no","no","9","9","2","5","C:/Users/chopik/Desktop/Scripts/PP Data/144.csv","legacy","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","0","0","f","NA","NA","f","NA","space","NA","NA","NA","NA","f","NA","space","NA","NA","NA","NA","533","NA","NA","533","NA","2149","NA","NA","NA","NA","747","NA","1774059","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","EXP","144","even","NA","6005","2013","2014","4772","5995","5995","NA","NA","1796988","1813985","1793051","1780076","1794827","1814486","1813984","6005","1796988","1814486","1815020","NA","NA","1780076","1794801","1783708","1793050","1783708","1783708","1780076","NA","1794829","NA","NA","NA","NA","1793552","1793552","1794300","1783187","1782686","1815521","NA","6007","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","16","14147","17","yes","1024"
