"Identical","LAB_SEED","Orientation1","Orientation2","PPList","Picture1","Picture2","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_Pictures_response","correct_Start_E","correct_Target_response_Prac","correct_Welcome_PP_E","correct_count","correct_response","count_Check_This","count_Disable_Mouse","count_EXP","count_LAB_SEED","count_Language_Selection","count_List_Select","count_List_Selection","count_Pictures_Break","count_Pictures_End","count_Pictures_Exp","count_Pictures_Fixation","count_Pictures_Fixation_Prac","count_Pictures_Prac","count_Pictures_Start","count_Pictures_Target","count_Pictures_Trial","count_Pictures_Welcome","count_Pictures_loop","count_Pictures_response","count_Pictures_response_correct","count_Pictures_response_noans","count_Pictures_response_wrong","count_Prac","count_Prac_Count","count_Prac_Reset","count_Prac_Trial","count_Prac_loop","count_Prac_seq","count_Prac_setup","count_Start_DE","count_Start_E","count_Start_NOB","count_Start_PL","count_Start_SC","count_Start_TC","count_Target_Prac","count_Target_response_Prac","count_Target_response_correct_Prac","count_Target_response_noans_Prac","count_Target_response_wrong_Prac","count_Trial_logger","count_Welcome_PP_DE","count_Welcome_PP_E","count_Welcome_PP_NOB","count_Welcome_PP_PL","count_Welcome_PP_SC","count_Welcome_PP_TC","count_postdata_E","count_postdata_TC","datetime","description","disable_garbage_collection","empty_column","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","height","keyboard_backend","language1","language2","language3","language4","language5","language6","live_row","live_row_Pictures_loop","live_row_Prac","live_row_Prac_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","osf_always_upload_experiment","osf_id","repeat_cycle","reset_loop","response","response_Pictures_Break","response_Pictures_End","response_Pictures_response","response_Start_DE","response_Start_E","response_Start_NOB","response_Start_PL","response_Start_SC","response_Start_TC","response_Target_response_Prac","response_Welcome_PP_DE","response_Welcome_PP_E","response_Welcome_PP_NOB","response_Welcome_PP_PL","response_Welcome_PP_SC","response_Welcome_PP_TC","response_time","response_time_Pictures_Break","response_time_Pictures_End","response_time_Pictures_response","response_time_Start_DE","response_time_Start_E","response_time_Start_NOB","response_time_Start_PL","response_time_Start_SC","response_time_Start_TC","response_time_Target_response_Prac","response_time_Welcome_PP_DE","response_time_Welcome_PP_E","response_time_Welcome_PP_NOB","response_time_Welcome_PP_PL","response_time_Welcome_PP_SC","response_time_Welcome_PP_TC","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_Check_This","time_Disable_Mouse","time_EXP","time_LAB_SEED","time_Language_Selection","time_List_Select","time_List_Selection","time_Pictures_Break","time_Pictures_End","time_Pictures_Exp","time_Pictures_Fixation","time_Pictures_Fixation_Prac","time_Pictures_Prac","time_Pictures_Start","time_Pictures_Target","time_Pictures_Trial","time_Pictures_Welcome","time_Pictures_loop","time_Pictures_response","time_Pictures_response_correct","time_Pictures_response_noans","time_Pictures_response_wrong","time_Prac","time_Prac_Count","time_Prac_Reset","time_Prac_Trial","time_Prac_loop","time_Prac_seq","time_Prac_setup","time_Start_DE","time_Start_E","time_Start_NOB","time_Start_PL","time_Start_SC","time_Start_TC","time_Target_Prac","time_Target_response_Prac","time_Target_response_correct_Prac","time_Target_response_noans_Prac","time_Target_response_wrong_Prac","time_Trial_logger","time_Welcome_PP_DE","time_Welcome_PP_E","time_Welcome_PP_NOB","time_Welcome_PP_PL","time_Welcome_PP_SC","time_Welcome_PP_TC","time_postdata_E","time_postdata_TC","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"N","8552","H","V","PP_LIST1.csv","guitarH.jpg","guitarV.jpg","100","100","713.714285714","713.714285714","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","5","0","5","0","0","0","0","0","0","0","0","0","5","5","5","5","5","0","0","0","0","0","0","0","NA","NA","09/26/19 16:33:29","Matching Tasks","yes","","PP.osexp","C:\Users\Chopik2\Desktop\Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","no","768","legacy","yes","no","no","no","no","no","0","0","1","5","C:/Users/Chopik2/Desktop/Scripts/PP Data/170.csv","legacy","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","0","0","j","NA","NA","j","NA","space","NA","NA","NA","NA","f","NA","space","NA","NA","NA","NA","884","NA","NA","884","NA","2670","NA","NA","NA","NA","657","NA","2253502","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","EXP","0","even","NA","7158","1745","1745","5782","7148","7148","NA","NA","2273847","2273933","2269480","2260672","2271166","2274434","2273931","7158","2273847","2274434","2275319","NA","NA","2260672","2271140","2260686","2269479","2260686","2260686","2260672","NA","2271168","NA","NA","NA","NA","2269981","2269981","2270640","NA","NA","2275819","NA","7160","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","7","4996","7","yes","1024"
"F","8552","F","F","PP_LIST1.csv","knife.jpg","ladder.jpg","100","100","714.5","714.5","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","1","0","1","5","0","0","1","1","0","0","1","1","1","1","0","5","0","5","0","0","0","0","0","0","0","0","0","5","5","5","5","5","1","0","0","0","0","0","0","NA","NA","09/26/19 16:33:29","Matching Tasks","yes","","PP.osexp","C:\Users\Chopik2\Desktop\Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","no","768","legacy","yes","no","no","no","no","no","1","1","1","5","C:/Users/Chopik2/Desktop/Scripts/PP Data/170.csv","legacy","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","0","0","f","NA","NA","f","NA","space","NA","NA","NA","NA","f","NA","space","NA","NA","NA","NA","720","NA","NA","720","NA","2670","NA","NA","NA","NA","657","NA","2253502","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","EXP","0","even","NA","7158","1745","1745","5782","7148","7148","NA","NA","2273847","2275905","2269480","2260672","2271166","2276406","2275903","7158","2273847","2276406","2277127","NA","NA","2260672","2271140","2260686","2269479","2260686","2260686","2260672","NA","2271168","NA","NA","NA","NA","2269981","2269981","2270640","NA","NA","2277627","NA","7160","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","8","5716","8","yes","1024"
"F","8552","F","F","PP_LIST1.csv","sutcse.jpg","pumpkin.jpg","100","100","704.222222222","704.222222222","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","2","0","2","5","0","0","2","2","0","0","2","2","2","2","0","5","0","5","0","0","0","0","0","0","0","0","0","5","5","5","5","5","2","0","0","0","0","0","0","NA","NA","09/26/19 16:33:29","Matching Tasks","yes","","PP.osexp","C:\Users\Chopik2\Desktop\Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","no","768","legacy","yes","no","no","no","no","no","2","2","1","5","C:/Users/Chopik2/Desktop/Scripts/PP Data/170.csv","legacy","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","0","0","f","NA","NA","f","NA","space","NA","NA","NA","NA","f","NA","space","NA","NA","NA","NA","622","NA","NA","622","NA","2670","NA","NA","NA","NA","657","NA","2253502","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","EXP","0","even","NA","7158","1745","1745","5782","7148","7148","NA","NA","2273847","2277706","2269480","2260672","2271166","2278207","2277705","7158","2273847","2278207","2278831","NA","NA","2260672","2271140","2260686","2269479","2260686","2260686","2260672","NA","2271168","NA","NA","NA","NA","2269981","2269981","2270640","NA","NA","2279331","NA","7160","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","9","6338","9","yes","1024"
"N","8552","V","H","PP_LIST1.csv","saltV.jpg","saltH.jpg","100","100","686.1","686.1","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","3","0","3","5","0","0","3","3","0","0","3","3","3","3","0","5","0","5","0","0","0","0","0","0","0","0","0","5","5","5","5","5","3","0","0","0","0","0","0","NA","NA","09/26/19 16:33:29","Matching Tasks","yes","","PP.osexp","C:\Users\Chopik2\Desktop\Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","no","768","legacy","yes","no","no","no","no","no","3","3","1","5","C:/Users/Chopik2/Desktop/Scripts/PP Data/170.csv","legacy","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","0","0","j","NA","NA","j","NA","space","NA","NA","NA","NA","f","NA","space","NA","NA","NA","NA","523","NA","NA","523","NA","2670","NA","NA","NA","NA","657","NA","2253502","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","EXP","0","even","NA","7158","1745","1745","5782","7148","7148","NA","NA","2273847","2279414","2269480","2260672","2271166","2279915","2279412","7158","2273847","2279915","2280439","NA","NA","2260672","2271140","2260686","2269479","2260686","2260686","2260672","NA","2271168","NA","NA","NA","NA","2269981","2269981","2270640","NA","NA","2280939","NA","7160","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","10","6861","10","yes","1024"
"N","8552","V","H","PP_LIST1.csv","penV.jpg","penH.jpg","100","100","677.909090909","677.909090909","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","4","0","4","5","0","0","4","4","0","0","4","4","4","4","0","5","0","5","0","0","0","0","0","0","0","0","0","5","5","5","5","5","4","0","0","0","0","0","0","NA","NA","09/26/19 16:33:29","Matching Tasks","yes","","PP.osexp","C:\Users\Chopik2\Desktop\Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","no","768","legacy","yes","no","no","no","no","no","4","4","1","5","C:/Users/Chopik2/Desktop/Scripts/PP Data/170.csv","legacy","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","0","0","j","NA","NA","j","NA","space","NA","NA","NA","NA","f","NA","space","NA","NA","NA","NA","596","NA","NA","596","NA","2670","NA","NA","NA","NA","657","NA","2253502","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","EXP","0","even","NA","7158","1745","1745","5782","7148","7148","NA","NA","2273847","2281020","2269480","2260672","2271166","2281521","2281019","7158","2273847","2281521","2282119","NA","NA","2260672","2271140","2260686","2269479","2260686","2260686","2260672","NA","2271168","NA","NA","NA","NA","2269981","2269981","2270640","NA","NA","2282619","NA","7160","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","11","7457","11","yes","1024"
"Y","8552","H","H","PP_LIST1.csv","batH.jpg","batH.jpg","100","100","679.25","679.25","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","5","0","5","5","0","0","5","5","0","0","5","5","5","5","0","5","0","5","0","0","0","0","0","0","0","0","0","5","5","5","5","5","5","0","0","0","0","0","0","NA","NA","09/26/19 16:33:29","Matching Tasks","yes","","PP.osexp","C:\Users\Chopik2\Desktop\Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","no","768","legacy","yes","no","no","no","no","no","5","5","1","5","C:/Users/Chopik2/Desktop/Scripts/PP Data/170.csv","legacy","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","0","0","j","NA","NA","j","NA","space","NA","NA","NA","NA","f","NA","space","NA","NA","NA","NA","694","NA","NA","694","NA","2670","NA","NA","NA","NA","657","NA","2253502","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","EXP","0","even","NA","7158","1745","1745","5782","7148","7148","NA","NA","2273847","2282707","2269480","2260672","2271166","2283208","2282705","7158","2273847","2283208","2283903","NA","NA","2260672","2271140","2260686","2269479","2260686","2260686","2260672","NA","2271168","NA","NA","NA","NA","2269981","2269981","2270640","NA","NA","2284403","NA","7160","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","12","8151","12","yes","1024"
"F","8552","F","F","PP_LIST1.csv","nut.jpg","watch.jpg","100","100","684.692307692","684.692307692","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","6","0","6","5","0","0","6","6","0","0","6","6","6","6","0","5","0","5","0","0","0","0","0","0","0","0","0","5","5","5","5","5","6","0","0","0","0","0","0","NA","NA","09/26/19 16:33:29","Matching Tasks","yes","","PP.osexp","C:\Users\Chopik2\Desktop\Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","no","768","legacy","yes","no","no","no","no","no","6","6","1","5","C:/Users/Chopik2/Desktop/Scripts/PP Data/170.csv","legacy","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","0","0","f","NA","NA","f","NA","space","NA","NA","NA","NA","f","NA","space","NA","NA","NA","NA","750","NA","NA","750","NA","2670","NA","NA","NA","NA","657","NA","2253502","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","EXP","0","even","NA","7158","1745","1745","5782","7148","7148","NA","NA","2273847","2284482","2269480","2260672","2271166","2284984","2284481","7158","2273847","2284984","2285736","NA","NA","2260672","2271140","2260686","2269479","2260686","2260686","2260672","NA","2271168","NA","NA","NA","NA","2269981","2269981","2270640","NA","NA","2286236","NA","7160","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","13","8901","13","yes","1024"
"F","8552","F","F","PP_LIST1.csv","ring.jpg","stove.jpg","100","100","697.857142857","697.857142857","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","7","0","7","5","0","0","7","7","0","0","7","7","7","7","0","5","0","5","0","0","0","0","0","0","0","0","0","5","5","5","5","5","7","0","0","0","0","0","0","NA","NA","09/26/19 16:33:29","Matching Tasks","yes","","PP.osexp","C:\Users\Chopik2\Desktop\Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","no","768","legacy","yes","no","no","no","no","no","7","7","1","5","C:/Users/Chopik2/Desktop/Scripts/PP Data/170.csv","legacy","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","0","0","f","NA","NA","f","NA","space","NA","NA","NA","NA","f","NA","space","NA","NA","NA","NA","869","NA","NA","869","NA","2670","NA","NA","NA","NA","657","NA","2253502","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","EXP","0","even","NA","7158","1745","1745","5782","7148","7148","NA","NA","2273847","2286315","2269480","2260672","2271166","2286816","2286313","7158","2273847","2286816","2287687","NA","NA","2260672","2271140","2260686","2269479","2260686","2260686","2260672","NA","2271168","NA","NA","NA","NA","2269981","2269981","2270640","NA","NA","2288187","NA","7160","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","14","9770","14","yes","1024"
"Y","8552","H","H","PP_LIST1.csv","broomH.jpg","broomH.jpg","100","100","691.733333333","691.733333333","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","8","0","8","5","0","0","8","8","0","0","8","8","8","8","0","5","0","5","0","0","0","0","0","0","0","0","0","5","5","5","5","5","8","0","0","0","0","0","0","NA","NA","09/26/19 16:33:29","Matching Tasks","yes","","PP.osexp","C:\Users\Chopik2\Desktop\Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","no","768","legacy","yes","no","no","no","no","no","8","8","1","5","C:/Users/Chopik2/Desktop/Scripts/PP Data/170.csv","legacy","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","0","0","j","NA","NA","j","NA","space","NA","NA","NA","NA","f","NA","space","NA","NA","NA","NA","606","NA","NA","606","NA","2670","NA","NA","NA","NA","657","NA","2253502","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","EXP","0","even","NA","7158","1745","1745","5782","7148","7148","NA","NA","2273847","2288267","2269480","2260672","2271166","2288768","2288266","7158","2273847","2288768","2289376","NA","NA","2260672","2271140","2260686","2269479","2260686","2260686","2260672","NA","2271168","NA","NA","NA","NA","2269981","2269981","2270640","NA","NA","2289876","NA","7160","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","15","10376","15","yes","1024"
"N","8552","H","V","PP_LIST1.csv","keyH.jpg","keyV.jpg","100","100","690.8125","690.8125","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","9","0","9","5","0","0","9","9","0","0","9","9","9","9","0","5","0","5","0","0","0","0","0","0","0","0","0","5","5","5","5","5","9","0","0","0","0","0","0","NA","NA","09/26/19 16:33:29","Matching Tasks","yes","","PP.osexp","C:\Users\Chopik2\Desktop\Scripts","no","chinese-japanese-korean","no","18","no","#0000ff","no","English","no","768","legacy","yes","no","no","no","no","no","9","9","1","5","C:/Users/Chopik2/Desktop/Scripts/PP Data/170.csv","legacy","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","0","0","j","NA","NA","j","NA","space","NA","NA","NA","NA","f","NA","space","NA","NA","NA","NA","677","NA","NA","677","NA","2670","NA","NA","NA","NA","657","NA","2253502","NA","NA","NA","NA","2","legacy","1024","2","48000","-16","EXP","0","even","NA","7158","1745","1745","5782","7148","7148","NA","NA","2273847","2289956","2269480","2260672","2271166","2290457","2289954","7158","2273847","2290457","2291135","NA","NA","2260672","2271140","2260686","2269479","2260686","2260686","2260672","NA","2271168","NA","NA","NA","NA","2269981","2269981","2270640","NA","NA","2291635","NA","7160","NA","NA","NA","NA","NA","NA","Orientation_PSA2018","16","11053","16","yes","1024"
