SEED;SUBJID;Sequence;DATE;SIGN;round;note
9412;1;002_SP -> 002_PP -> 003;08.11.2019, 09.00;;1;
9412;2;003 -> 002_SP -> 002_PP;08.11.2019, 09.00;;1;
9412;3;002_SP -> 002_PP -> 003;08.11.2019, 09.00;;1;
9412;4;003 -> 002_SP -> 002_PP;08.11.2019, 10.00;;1;
9412;5;002_SP -> 002_PP -> 003;08.11.2019, 10.00;;1;
9412;6;003 -> 002_SP -> 002_PP;08.11.2019, 11.00;;1;
9412;7;002_SP -> 002_PP -> 003;08.11.2019, 11.00;;1;
9412;8;003 -> 002_SP -> 002_PP;08.11.2019, 11.00;;1;
9412;9;003 -> 002_SP -> 002_PP;08.11.2019, 12.00;;1;
9412;10;002_SP -> 002_PP -> 003;08.11.2019, 12.00;;1;
9412;11;003 -> 002_SP -> 002_PP;06.12.2019, 09.00;;1;
9412;12;002_SP -> 002_PP -> 003;08.11.2019, 13.00;;1;
9412;13;003 -> 002_SP -> 002_PP;08.11.2019, 13.00;;1;
9412;14;002_SP -> 002_PP -> 003;08.11.2019, 13.00;;1;
9412;15;002_SP -> 002_PP -> 003;08.11.2019, 13.00;;1;
9412;16;003 -> 002_SP -> 002_PP;08.11.2019, 14.00;;1;
9412;17;003 -> 002_SP -> 002_PP;08.11.2019, 14.00;;1;
9412;18;002_SP -> 002_PP -> 003;08.11.2019, 14.30;;1;
9412;19;002_SP -> 002_PP -> 003;08.11.2019, 14.40;;1;
9412;20;003 -> 002_SP -> 002_PP;08.11.2019, 14.40;;1;
9412;21;003 -> 002_SP -> 002_PP;08.11.2019, 14.40;;1;
9412;22;002_SP -> 002_PP -> 003;08.11.2019, 15.10;;1;
9412;23;002_SP -> 002_PP -> 003;08.11.2019, 15.10;;1;
9412;24;002_SP -> 002_PP -> 003;08.11.2019, 15.10;;1;
9412;25;002_SP -> 002_PP -> 003;08.11.2019, 16.00;;1;
9412;26;002_SP -> 002_PP -> 003;08.11.2019, 16.00;;1;
9412;27;003 -> 002_SP -> 002_PP;08.11.2019, 16.00;;1;
9412;28;002_SP -> 002_PP -> 003;12.11.2019, 12.00;;1;
9412;29;003 -> 002_SP -> 002_PP;12.11.2019, 12.00;;1;
9412;30;002_SP -> 002_PP -> 003;12.11.2019, 13.00;;1;
9412;31;003 -> 002_SP -> 002_PP;12.11.2019, 16.00;;1;
9412;32;003 -> 002_SP -> 002_PP;14.11.2019, 14.00;;1;
9412;33;002_SP -> 002_PP -> 003;14.11.2019, 14.00;;1;
9412;34;003 -> 002_SP -> 002_PP;14.11.2019, 15.00;;1;
9412;35;003 -> 002_SP -> 002_PP;14.11.2019, 15.00;;1;
9412;36;002_SP -> 002_PP -> 003;14.11.2019, 15.00;;1;
9412;37;003 -> 002_SP -> 002_PP;14.11.2019, 16.00;;1;
9412;38;002_SP -> 002_PP -> 003;14.11.2019, 16.00;;1;
9412;39;002_SP -> 002_PP -> 003;15.11.2019, 09.40;;1;
9412;40;002_SP -> 002_PP -> 003;15.11.2019, 09.40;;1;
9412;41;003 -> 002_SP -> 002_PP;15.11.2019, 11.40;;1;
9412;42;002_SP -> 002_PP -> 003;15.11.2019, 11.40;;1;
9412;43;003 -> 002_SP -> 002_PP;15.11.2019, 13.30;;1;
9412;44;003 -> 002_SP -> 002_PP;15.11.2019, 13.30;;1;
9412;45;003 -> 002_SP -> 002_PP;15.11.2019, 14.30;;1;
9412;46;002_SP -> 002_PP -> 003;15.11.2019, 14.30;;1;
9412;47;002_SP -> 002_PP -> 003;15.11.2019, 15.30;;1;
