"SEED","SUBJID","Sequence","DATE","SIGN","round"
4257,1,"003 -> 002_SP -> 002_PP","","",1
4257,2,"002_SP -> 002_PP -> 003","","",1
4257,3,"002_SP -> 002_PP -> 003","","",1
4257,4,"002_SP -> 002_PP -> 003","","",1
4257,5,"003 -> 002_SP -> 002_PP","","",1
4257,6,"002_SP -> 002_PP -> 003","","",1
4257,7,"003 -> 002_SP -> 002_PP","","",1
4257,8,"002_SP -> 002_PP -> 003","","",1
4257,9,"002_SP -> 002_PP -> 003","","",1
4257,10,"003 -> 002_SP -> 002_PP","","",1
4257,11,"002_SP -> 002_PP -> 003","","",1
4257,12,"003 -> 002_SP -> 002_PP","","",1
4257,13,"003 -> 002_SP -> 002_PP","","",1
4257,14,"003 -> 002_SP -> 002_PP","","",1
4257,15,"002_SP -> 002_PP -> 003","","",1
4257,16,"002_SP -> 002_PP -> 003","","",1
4257,17,"002_SP -> 002_PP -> 003","","",1
4257,18,"002_SP -> 002_PP -> 003","","",1
4257,19,"003 -> 002_SP -> 002_PP","","",1
4257,20,"002_SP -> 002_PP -> 003","","",1
4257,21,"003 -> 002_SP -> 002_PP","","",1
4257,22,"002_SP -> 002_PP -> 003","","",1
4257,23,"002_SP -> 002_PP -> 003","","",1
4257,24,"002_SP -> 002_PP -> 003","","",1
4257,25,"002_SP -> 002_PP -> 003","","",1
4257,26,"002_SP -> 002_PP -> 003","","",1
4257,27,"003 -> 002_SP -> 002_PP","","",1
4257,28,"003 -> 002_SP -> 002_PP","","",1
4257,29,"002_SP -> 002_PP -> 003","","",1
4257,30,"002_SP -> 002_PP -> 003","","",1
4257,31,"002_SP -> 002_PP -> 003","","",1
4257,32,"003 -> 002_SP -> 002_PP","","",1
4257,33,"003 -> 002_SP -> 002_PP","","",1
4257,34,"002_SP -> 002_PP -> 003","","",1
4257,35,"003 -> 002_SP -> 002_PP","","",1
4257,36,"002_SP -> 002_PP -> 003","","",1
4257,37,"002_SP -> 002_PP -> 003","","",1
4257,38,"002_SP -> 002_PP -> 003","","",1
4257,39,"002_SP -> 002_PP -> 003","","",1
4257,40,"003 -> 002_SP -> 002_PP","","",1
4257,41,"003 -> 002_SP -> 002_PP","","",1
4257,42,"003 -> 002_SP -> 002_PP","","",1
4257,43,"003 -> 002_SP -> 002_PP","","",1
4257,44,"002_SP -> 002_PP -> 003","","",1
4257,45,"003 -> 002_SP -> 002_PP","","",1
4257,46,"002_SP -> 002_PP -> 003","","",1
4257,47,"003 -> 002_SP -> 002_PP","","",1
4257,48,"002_SP -> 002_PP -> 003","","",1
4257,49,"003 -> 002_SP -> 002_PP","","",1
4257,50,"003 -> 002_SP -> 002_PP","","",1
4257,51,"003 -> 002_SP -> 002_PP","","",2
4257,52,"003 -> 002_SP -> 002_PP","","",2
4257,53,"003 -> 002_SP -> 002_PP","","",2
4257,54,"002_SP -> 002_PP -> 003","","",2
4257,55,"003 -> 002_SP -> 002_PP","","",2
4257,56,"002_SP -> 002_PP -> 003","","",2
4257,57,"003 -> 002_SP -> 002_PP","","",2
4257,58,"003 -> 002_SP -> 002_PP","","",2
4257,59,"002_SP -> 002_PP -> 003","","",2
4257,60,"003 -> 002_SP -> 002_PP","","",2
4257,61,"003 -> 002_SP -> 002_PP","","",2
4257,62,"003 -> 002_SP -> 002_PP","","",2
4257,63,"002_SP -> 002_PP -> 003","","",2
4257,64,"002_SP -> 002_PP -> 003","","",2
4257,65,"002_SP -> 002_PP -> 003","","",2
4257,66,"002_SP -> 002_PP -> 003","","",2
4257,67,"002_SP -> 002_PP -> 003","","",2
4257,68,"002_SP -> 002_PP -> 003","","",2
4257,69,"003 -> 002_SP -> 002_PP","","",2
4257,70,"003 -> 002_SP -> 002_PP","","",2
4257,71,"002_SP -> 002_PP -> 003","","",2
4257,72,"003 -> 002_SP -> 002_PP","","",2
4257,73,"003 -> 002_SP -> 002_PP","","",2
4257,74,"003 -> 002_SP -> 002_PP","","",2
4257,75,"003 -> 002_SP -> 002_PP","","",2
4257,76,"002_SP -> 002_PP -> 003","","",2
4257,77,"003 -> 002_SP -> 002_PP","","",2
4257,78,"003 -> 002_SP -> 002_PP","","",2
4257,79,"002_SP -> 002_PP -> 003","","",2
4257,80,"002_SP -> 002_PP -> 003","","",2
4257,81,"003 -> 002_SP -> 002_PP","","",2
4257,82,"002_SP -> 002_PP -> 003","","",2
4257,83,"003 -> 002_SP -> 002_PP","","",2
4257,84,"003 -> 002_SP -> 002_PP","","",2
4257,85,"002_SP -> 002_PP -> 003","","",2
4257,86,"002_SP -> 002_PP -> 003","","",2
4257,87,"003 -> 002_SP -> 002_PP","","",2
4257,88,"002_SP -> 002_PP -> 003","","",2
4257,89,"003 -> 002_SP -> 002_PP","","",2
4257,90,"003 -> 002_SP -> 002_PP","","",2
4257,91,"003 -> 002_SP -> 002_PP","","",2
4257,92,"002_SP -> 002_PP -> 003","","",2
4257,93,"002_SP -> 002_PP -> 003","","",2
4257,94,"002_SP -> 002_PP -> 003","","",2
4257,95,"002_SP -> 002_PP -> 003","","",2
4257,96,"003 -> 002_SP -> 002_PP","","",2
4257,97,"003 -> 002_SP -> 002_PP","","",2
4257,98,"002_SP -> 002_PP -> 003","","",2
4257,99,"003 -> 002_SP -> 002_PP","","",2
4257,100,"003 -> 002_SP -> 002_PP","","",2
