Batch,Result ID,identifier,lang_prof,gender,birth_year
USA_033,22,6r77w1xym,67,1,xx
USA_033,24,zn9ch0dyi,67,1,xx
USA_033,26,fnijdun31,67,j,xx
PSA_002,32,6pod1k78d,100,space,xx
USA_033,39,jpb0e3yz2,100,2,99
PSA_002,46,nzbujd1bp,100,1,01
USA_033,47,6x9zdjx1w,100,1,01
PSA_002,67,cjypzych3,100,1,00
PSA_002,69,h1dse2kln,67,1,01
PSA_002,70,368tdu949,67,1,00
USA_033,75,sfzq5wi17,100,1,01
PSA_002,76,1wt1fi6ss,100,1,02
PSA_002,77,rvcsjtiy6,100,1,02
USA_033,79,gigiaypqk,100,1,99
PSA_002,80,5eh8vj77g,67,1,01
PSA_002,81,ablv1wb4m,100,1,20
PSA_002,82,28eouuzd3,67,1,02
PSA_002,83,4zft9lhq9,100,1,01
PSA_002,84,ly7c1km8h,100,1,00
PSA_002,85,p4716jxpf,67,1,00
PSA_002,86,wu4r62ir7,67,1,01
PSA_002,95,5zjgvffk9,100,1,02
PSA_002,96,lcwwn26vt,67,kp1,01
PSA_002,97,u2key05kx,100,1,01
PSA_002,102,7l6ze6i1k,100,1,00
PSA_002,103,f1krjjn5n,100,1,00
PSA_002,104,14x1x37kw,100,1,02
PSA_002,118,34ksuj484,100,1,01
PSA_002,121,5akcya0fn,67,1,00
PSA_002,122,hhaov8yr4,100,1,01
PSA_002,124,1f3qkondm,67,kp2,91
PSA_002,126,ns27q2tju,100,1,00
PSA_002,168,uo8hxifhi,67,1,00
PSA_002,171,eg83lm323,100,1,01
POR_001,175,dtgbg717b,100,1,97
POR_001,176,1w5no9gc6,100,2,88
POR_001,177,r39wwpuiv,67,1,91
PSA_002,178,hnzpn8ypb,100,1,xx
POR_001,179,lu3h6sozs,67,2,99
POR_001,180,q6yez81x7,100,1,98
POR_001,181,31mkcuhjf,100,1,02
POR_001,182,fjhsqrwon,100,1,96
PSA_002,185,vlmwx8ljb,100,2,99
PSA_002,186,w81z23db8,67,1,01
POR_001,188,l1ro8kr7c,100,2,96
PSA_002,189,5emxgr59i,100,1,02
PSA_002,191,dpkio0jly,100,1,01
PSA_002,197,m7kwaofco,100,1,02
POR_001,199,az9tid6wn,67,1,98
POR_001,200,zv8bru7zj,100,1,93
POR_001,201,wjrrdggn6,67,1,97
POR_001,202,3ccxolshc,67,1,97
POR_001,203,l7p2o8sd2,100,1,74
PSA_002,205,zmsigog7l,100,kp1,01
PSA_002,207,br1nac0sx,100,1,02
PSA_002,208,dud001w2p,100,1,01
PSA_002,210,8pt718kps,67,1,01
POR_001,212,4u541ryvi,67,1,xx
POR_001,213,62vffbsqk,100,2,93
POR_001,216,x32nc8kjh,100,1,96
POR_001,217,ojdmlj0hn,67,1,89
POR_001,219,w0gf4itla,100,1,98
POR_001,220,xlfn2yrws,100,2,92
PSA_002,223,3o1k0idzj,100,1,01
PSA_002,225,1myu2qz4r,100,1,02
POR_001,226,klu66w373,100,kp1,x5
POR_001,227,s3lhacz45,67,1,96
POR_001,228,s5rvujypx,100,1,97
POR_001,229,eh7jtg7fq,67,1,91
POR_001,230,h00gh9m8c,100,2,89
POR_001,232,yceymzte0,67,2,90
POR_001,233,dv2592h1c,100,1,01
POR_001,234,j7sqi3xag,67,1,91
PSA_002,235,93isib4vd,100,3,01
POR_001,237,uc6ywpzcx,100,2,92
POR_001,239,irdrhhba1,100,2,83
PSA_002,241,v7qgwbxz8,100,1,95
POR_001,243,b9lbhrg16,100,2,95
POR_001,244,zzkdrcp66,100,kp1,88
POR_001,245,rf2e7jue8,100,2,82
POR_001,246,bq3qo0nlk,100,1,96
POR_001,247,dlugd5dc1,67,1,92
POR_001,248,fj2iyd8vc,100,1,01
POR_001,251,68hikjlb9,67,2,88
PSA_002,252,nmxjwpg79,100,1,02
PSA_002,253,ybc2tja9a,100,1,02
PSA_002,254,b682cq9fh,100,1,00
PSA_002,256,prc96fuv2,67,1,02
PSA_002,258,2cpvvkyuz,100,1,01
POR_001,259,aqqydif4q,100,kp2,92
TUR_023,263,u6619gno2,67,3,91
POR_001,264,bbyr2rftc,100,2,68
POR_001,265,oe4hm4ohn,67,1,77
POR_001,326,ihu8ci7aw,100,2,67
POR_001,340,hgf4obsbg,100,2,91
POR_001,345,6hhd6jusq,67,kp1,87
POR_001,347,gsh3zc6u2,67,kp1,99
POR_001,348,61fvm78ys,67,kp1,81
POR_001,350,tpm2usnhy,67,2,95
POR_001,351,dq38mbtvo,100,1,78
POR_001,355,e4t4j3djy,100,1,91
POR_001,356,f9zrek8vl,67,1,00
POR_001,364,h1pb1rfos,67,2,89
POR_001,365,8gofvdczv,67,2,99
POR_001,372,3mdvkx670,100,2,90
POR_001,373,g328h0oa6,100,2,79
POR_001,375,hhdnp3nah,100,2,75
PSA_002,390,jjbi7v391,100,1,01
PSA_002,401,t4as9947w,67,1,02
PSA_002,403,fikeeshvp,67,1,01
POR_001,404,a2oc8f4g0,100,2,70
PSA_002,405,roopvj67x,67,end,01
PSA_002,406,k1k7knfmt,67,1,01
NOR_002,407,6435x737p,67,4,97
TUR_023,411,f3k6tmmg4,67,1,00
TUR_023,418,apc7pqz46,67,1,01
TUR_023,424,urlfxtblt,67,kp1,09
TUR_023,426,yjwvqsicd,67,1,00
TUR_023,453,ez8gf69na,67,1,98
TUR_023,463,k8nph00i5,100,2,99
TUR_023,468,a9d3xdp1v,67,kp1,00
TUR_023,470,ofe858dde,100,1,01
TUR_023,479,is5gioit5,100,kp1,99
TUR_023,483,fyk9m0dvx,67,1,98
TUR_023,486,j23kalrwi,100,2,00
TUR_023,488,xw1z337j3,67,1,99
TUR_023,490,0pcc6nea5,67,1,00
PSA_002,493,dv0p13dgi,100,2,01
TUR_023,496,hzlegai6u,100,1,00
TUR_023,502,mtg6izgdc,100,kp2,98
TUR_023,503,f018ye2nm,67,2,96
TUR_023,505,pos9lymd0,100,kp1,97
NOR_002,506,zokh4cg3h,100,1,93
PSA_002,507,hxm2swpdk,100,2,00
PSA_002,510,1ucjkfzgz,100,1,01
NOR_002,511,35miq9748,100,2,90
TUR_023,512,hmm0vrpd0,67,2,11
AUT_005,513,czcjnhfkf,100,3,02
AUT_005,514,w06q3tztt,100,NA,00
AUT_005,515,moqkxa0sm,100,1,98
AUT_005,517,0031i61d8,67,1,99
TUR_023,519,pbhu3edjb,67,1,00
AUT_005,520,6xuiy2kgx,67,1,97
AUT_005,522,nehxl7b1i,67,1,94
AUT_005,523,aq7pb1dzp,100,1,94
AUT_005,524,h90d3sk1e,100,2,89
AUT_005,525,v9598jjbp,100,1,01
AUT_005,526,ahbrt5ajp,100,1,02
TUR_023,530,mrx61bmky,67,kp1,99
TUR_023,533,he3zr9jzu,100,1,00
AUT_005,551,0if1u15ii,100,1,00
AUT_005,552,638ydx3lx,100,1,00
AUT_005,553,pg1og8y6y,100,1,01
TUR_023,554,dw80nzbs2,100,1,01
AUT_005,555,aeava3ga0,100,1,92
DEU_020,556,0xt3y5ir2,100,1,95
TUR_023,572,7901nznim,100,kp1,98
TUR_023,574,xjvf4p667,100,1,99
TUR_023,581,eu5lh469n,100,1,99
POR_001,586,26dgl4chr,67,2,75
PSA_002,587,w2lavj3p4,100,1,02
PSA_002,588,zwu2xzgv4,67,2,01
TUR_023,594,pb7h3ocan,67,kp1,00
TUR_023,601,rejdub4m6,67,1,xx
TUR_023,609,y6stg2txc,67,1,00
PSA_002,614,7an172sdb,67,1,01
PSA_002,615,p7oxtfcl9,67,2,00
TUR_023,622,w8za5ueaw,100,2,98
TUR_023,623,p5f1go198,100,kp1,01
TUR_023,627,rskeqwxpp,67,kp1,00
AUT_005,628,qf6p1mhco,100,1,00
TUR_023,630,codvdsw5y,100,kp1,xx
TUR_023,633,4fhc244lf,100,1,98
PSA_002,639,2ontrr2k7,100,2,01
TUR_023,641,t6rywgli0,67,1,97
AUT_005,648,x4am4y2dq,100,1,02
TUR_023,654,tsjix32ru,100,1,00
AUT_005,657,hvrnlspgq,100,1,98
TUR_023,660,7cgq8vj1c,100,kp1,00
DEU_020,663,dl4i8tt8o,100,1,95
TUR_023,666,yo731fcrt,100,NA,01
TUR_023,672,z9rj38hvp,100,1,98
TUR_023,673,vtc4g7qbz,67,1,01
TUR_023,675,5r9uq9sel,100,2,88
AUT_005,676,hzpepilwb,100,1,02
TUR_023,677,c9rrqyul6,67,1,99
PSA_002,679,292oc51l5,67,kp1,01
TUR_023,681,3ykb1pufj,100,1,02
USA_030,682,n3nxvm8vv,67,1,01
DEU_020,683,6lhelkjaq,100,left meta,00
