SEED,SUBJID,Sequence,DATE,SIGN,round
5186,1,002_SP -> 002_PP -> 003,3/9/2019,AF,1
5186,2,003 -> 002_SP -> 002_PP,4/9/2019,AF,1
5186,3,003 -> 002_SP -> 002_PP,5/9/2019,AF,1
5186,4,002_SP -> 002_PP -> 003,5/9/2019,AF,1
5186,5,002_SP -> 002_PP -> 003,5/9/2019,AF,1
5186,6,002_SP -> 002_PP -> 003,5/9/2019,AF,1
5186,7,002_SP -> 002_PP -> 003,5/9/2019,AF,1
5186,8,002_SP -> 002_PP -> 003,6/9/2019,AF,1
5186,9,003 -> 002_SP -> 002_PP,6/9/2019,AF,1
5186,10,002_SP -> 002_PP -> 003,6/9/2019,AF,1
5186,11,002_SP -> 002_PP -> 003,6/9/2019,AF,1
5186,12,002_SP -> 002_PP -> 003,11/9/2019,AF,1
5186,13,002_SP -> 002_PP -> 003,12/9/2019,AF,1
5186,14,003 -> 002_SP -> 002_PP,12/9/2019,AF,1
5186,15,002_SP -> 002_PP -> 003,12/9/2019,AF,1
5186,16,003 -> 002_SP -> 002_PP,12/9/2019,AF,1
5186,17,003 -> 002_SP -> 002_PP,13/9/2019,AF,1
5186,18,003 -> 002_SP -> 002_PP,13/9/2019,AF,1
5186,19,002_SP -> 002_PP -> 003,13/9/2019,AF,1
5186,20,003 -> 002_SP -> 002_PP,13/9/2019,AF,1
5186,21,003 -> 002_SP -> 002_PP,13/9/2019,AF,1
5186,22,002_SP -> 002_PP -> 003,17/9/2019,AF,1
5186,23,003 -> 002_SP -> 002_PP,17/9/2019,AF,1
5186,24,003 -> 002_SP -> 002_PP,17/9/2019,AF,1
5186,25,002_SP -> 002_PP -> 003,17/9/2019,AF,1
5186,26,002_SP -> 002_PP -> 003,17/9/2019,AF,1
5186,27,002_SP -> 002_PP -> 003,17/9/2019,AF,1
5186,28,002_SP -> 002_PP -> 003,18/9/2019,AF,1
5186,29,003 -> 002_SP -> 002_PP,18/9/2019,AF,1
5186,30,003 -> 002_SP -> 002_PP,18/9/2019,AF,1
5186,31,002_SP -> 002_PP -> 003,18/9/2019,AF,1
5186,32,002_SP -> 002_PP -> 003,18/9/2019,AF,1
5186,33,003 -> 002_SP -> 002_PP,18/9/2019,AF,1
5186,34,003 -> 002_SP -> 002_PP,19/9/2019,AF,1
5186,35,003 -> 002_SP -> 002_PP,19/9/2019,AF,1
5186,36,002_SP -> 002_PP -> 003,19/9/2019,AF,1
5186,37,002_SP -> 002_PP -> 003,19/9/2019,AF,1
5186,38,003 -> 002_SP -> 002_PP,19/9/2019,AF,1
5186,39,002_SP -> 002_PP -> 003,19/9/2019,AF,1
5186,40,002_SP -> 002_PP -> 003,19/9/2019,AF,1
5186,41,002_SP -> 002_PP -> 003,19/9/2019,AF,1
5186,42,002_SP -> 002_PP -> 003,19/9/2019,AF,1
5186,43,003 -> 002_SP -> 002_PP,19/9/2019,AF,1
