"ID","N","BF"
2,1,1
3,1,1
4,3,0.302331692771197
5,4,0.237095369075319
6,5,0.260627231395393
7,6,0.229521719264317
8,7,0.188697637319651
9,8,0.15890367319452
10,9,0.251880620009939
11,10,0.205887784144514
12,11,0.230810742781573
13,12,0.225601758232078
14,13,0.220987833300827
15,14,0.317999714141937
16,15,0.30444289962481
17,16,0.298603802185142
18,17,0.374617973245758
19,18,0.378956732283895
20,19,0.435424409629515
21,20,0.209301288167459
22,21,0.198338309207042
23,22,0.191149525847389
24,23,0.190168792167125
25,24,0.200247650625584
26,25,0.226439197387385
27,26,0.21078774202171
28,27,0.227313921316465
29,28,0.223283873442103
30,29,0.232712882554291
31,30,0.362275319557487
32,31,0.333452820650664
33,32,0.370974252028248
34,33,0.341017868484312
35,34,0.312124362213959
36,35,0.283099252049522
37,36,0.272592031634734
38,37,0.275354014682396
39,38,0.32329703138277
40,39,0.364138258822458
41,40,0.348596755720609
42,41,0.354091306518417
43,42,0.370287920531456
44,43,0.346932346201929
45,44,0.344516397825473
46,45,0.331159059675786
47,46,0.304918564211061
48,47,0.312876731588395
49,48,0.34486776158253
50,49,0.363250426705195
51,50,0.304853955907624
52,51,0.270163983863303
