SEED;SUBJID;Sequence;DATE;SIGN;round
5293;1;002_SP -> 002_PP -> 003;10/16/19;KK;1
5293;2;002_SP -> 002_PP -> 003;10/16/19;MO;1
5293;3;003 -> 002_SP -> 002_PP;10/16/19;KK;1
5293;4;003 -> 002_SP -> 002_PP;10/16/19;MO;1
5293;5;002_SP -> 002_PP -> 003;10/16/19;KK;1
5293;6;002_SP -> 002_PP -> 003;10/16/19;MO;1
5293;7;003 -> 002_SP -> 002_PP;10/21/19;KK;1
5293;8;002_SP -> 002_PP -> 003;10/21/19;MO;1
5293;9;003 -> 002_SP -> 002_PP;10/21/19;KK;1
5293;10;003 -> 002_SP -> 002_PP;10/21/19;MO;1
5293;11;002_SP -> 002_PP -> 003;10/21/19;KK;1
5293;12;002_SP -> 002_PP -> 003;10/21/19;MO;1
5293;13;002_SP -> 002_PP -> 003;10/21/19;KK;1
5293;14;003 -> 002_SP -> 002_PP;11/1/19;MO;1
5293;15;003 -> 002_SP -> 002_PP;11/1/19;KK;1
5293;16;002_SP -> 002_PP -> 003;11/1/19;MO;1
5293;17;002_SP -> 002_PP -> 003;11/1/19;KK;1
5293;18;003 -> 002_SP -> 002_PP;11/1/19;MO;1
5293;19;002_SP -> 002_PP -> 003;11/1/19;KK;1
5293;20;002_SP -> 002_PP -> 003;11/1/19;MO;1
5293;21;003 -> 002_SP -> 002_PP;1/8/20;KK;1
5293;22;002_SP -> 002_PP -> 003;1/8/20;MO;1
5293;23;003 -> 002_SP -> 002_PP;1/8/20;KK;1
5293;24;003 -> 002_SP -> 002_PP;1/8/20;MO;1
5293;25;003 -> 002_SP -> 002_PP;1/8/20;KK;1
5293;26;003 -> 002_SP -> 002_PP;1/8/20;MO;1
5293;27;003 -> 002_SP -> 002_PP;1/8/20;KK;1
5293;28;003 -> 002_SP -> 002_PP;1/8/20;MO;1
5293;29;002_SP -> 002_PP -> 003;1/8/20;KK;1
5293;30;003 -> 002_SP -> 002_PP;1/8/20;MO;1
5293;31;003 -> 002_SP -> 002_PP;1/8/20;KK;1
5293;32;002_SP -> 002_PP -> 003;1/8/20;MO;1
5293;33;002_SP -> 002_PP -> 003;1/8/20;KK;1
5293;34;002_SP -> 002_PP -> 003;1/8/20;MO;1
5293;35;002_SP -> 002_PP -> 003;1/8/20;KK;1
5293;36;003 -> 002_SP -> 002_PP;1/8/20;MO;1
5293;37;003 -> 002_SP -> 002_PP;1/8/20;KK;1
5293;38;003 -> 002_SP -> 002_PP;1/9/20;MO;1
5293;39;002_SP -> 002_PP -> 003;1/8/20;KK;1
5293;40;002_SP -> 002_PP -> 003;1/9/20;MO;1
5293;41;002_SP -> 002_PP -> 003;1/9/20;KK;1
5293;42;003 -> 002_SP -> 002_PP;1/9/20;MO;1
5293;43;002_SP -> 002_PP -> 003;1/9/20;KK;1
5293;44;003 -> 002_SP -> 002_PP;1/9/20;MO;1
5293;45;002_SP -> 002_PP -> 003;1/9/20;KK;1
5293;46;002_SP -> 002_PP -> 003;1/9/20;MO;1
5293;47;002_SP -> 002_PP -> 003;1/9/20;KK;1
5293;48;003 -> 002_SP -> 002_PP;1/9/20;MO;1
5293;49;003 -> 002_SP -> 002_PP;1/9/20;KK;1
5293;50;002_SP -> 002_PP -> 003;1/9/20;MO;1
5293;51;003 -> 002_SP -> 002_PP;1/9/20;KK;2
5293;52;003 -> 002_SP -> 002_PP;1/9/20;MO;2
5293;53;003 -> 002_SP -> 002_PP;1/9/20;KK;2
5293;54;003 -> 002_SP -> 002_PP;1/9/20;MO;2
5293;55;003 -> 002_SP -> 002_PP;1/13/20;KK;2
5293;56;003 -> 002_SP -> 002_PP;1/13/20;MO;2
5293;57;002_SP -> 002_PP -> 003;1/13/20;KK;2
5293;58;002_SP -> 002_PP -> 003;1/13/20;MO;2
5293;59;002_SP -> 002_PP -> 003;1/13/20;KK;2
5293;60;002_SP -> 002_PP -> 003;1/13/20;MO;2
5293;61;002_SP -> 002_PP -> 003;1/13/20;KK;2
5293;62;003 -> 002_SP -> 002_PP;1/13/20;MO;2
5293;63;002_SP -> 002_PP -> 003;1/13/20;KK;2
5293;64;003 -> 002_SP -> 002_PP;1/13/20;MO;2
5293;65;003 -> 002_SP -> 002_PP;1/13/20;KK;2
5293;66;002_SP -> 002_PP -> 003;1/13/20;MO;2
5293;67;002_SP -> 002_PP -> 003;1/13/20;KK;2
5293;68;002_SP -> 002_PP -> 003;1/13/20;MO;2
5293;69;003 -> 002_SP -> 002_PP;1/13/20;KK;2
5293;70;003 -> 002_SP -> 002_PP;1/13/20;MO;2
