SEED;SUBJID;Sequence;DATE;SIGN;round
5293;71;002_SP -> 002_PP -> 003;1/13/20;KK;1
5293;72;002_SP -> 002_PP -> 003;1/13/20;MO;1
5293;73;003 -> 002_SP -> 002_PP;1/13/20;KK;1
5293;74;003 -> 002_SP -> 002_PP;1/13/20;MO;1
5293;75;002_SP -> 002_PP -> 003;1/13/20;KK;1
