SEED,SUBJID,Sequence,DATE,SIGN,round,note
9497,1,002_SP -> 002_PP -> 003,2019/12/5,Qing-Lan Liu,1,
9497,2,002_SP -> 002_PP -> 003,2019/12/5,Qing-Lan Liu,1,
9497,3,003 -> 002_SP -> 002_PP,2019/12/5,Qing-Lan Liu,1,
9497,4,002_SP -> 002_PP -> 003,2019/12/5,Qing-Lan Liu,1,
9497,5,003 -> 002_SP -> 002_PP,2019/12/5,Qing-Lan Liu,1,
9497,6,003 -> 002_SP -> 002_PP,2019/12/5,Qing-Lan Liu,1,
9497,7,003 -> 002_SP -> 002_PP,2019/12/7,Qing-Lan Liu,1,
9497,8,003 -> 002_SP -> 002_PP,2019/12/7,Qing-Lan Liu,1,
9497,9,002_SP -> 002_PP -> 003,2019/12/10,Qing-Lan Liu,1,
9497,10,002_SP -> 002_PP -> 003,2019/12/10,Qing-Lan Liu,1,
9497,11,003 -> 002_SP -> 002_PP,2019/12/10,Qing-Lan Liu,1,
9497,12,003 -> 002_SP -> 002_PP,2019/12/10,Qing-Lan Liu,1,
9497,13,003 -> 002_SP -> 002_PP,2019/12/10,Qing-Lan Liu,1,
9497,14,002_SP -> 002_PP -> 003,2019/12/10,gantaotao,1,
9497,15,002_SP -> 002_PP -> 003,2019/12/10,gantaotao,1,
9497,16,002_SP -> 002_PP -> 003,2019/12/13,Qing-Lan Liu,1,
9497,17,003 -> 002_SP -> 002_PP,2019/12/13,gantaotao,1,
9497,18,002_SP -> 002_PP -> 003,2019/12/18,gantaotao,1,
9497,19,002_SP -> 002_PP -> 003,2019/12/13,gantaotao,1,
9497,20,002_SP -> 002_PP -> 003,2019/12/18,Qing-Lan Liu,1,
9497,21,003 -> 002_SP -> 002_PP,2019/12/18,gantaotao,1,
9497,22,002_SP -> 002_PP -> 003,2019/12/18,gantaotao,1,
9497,23,003 -> 002_SP -> 002_PP,2019/12/13,gantaotao,1,Changed ID from 18
9497,24,002_SP -> 002_PP -> 003,2019/12/20,Qing-Lan Liu,1,
9497,25,002_SP -> 002_PP -> 003,2019/12/20,gantaotao,1,
9497,26,003 -> 002_SP -> 002_PP,2019/12/20,Qing-Lan Liu,1,
9497,27,003 -> 002_SP -> 002_PP,2019/12/20,gantaotao,1,
9497,28,002_SP -> 002_PP -> 003,2019/12/20,gantaotao,1,
9497,29,002_SP -> 002_PP -> 003,2019/12/20,gantaotao,1,
9497,30,002_SP -> 002_PP -> 003,2019/12/20,gantaotao,1,
9497,31,003 -> 002_SP -> 002_PP,2019/12/20,gantaotao,1,
9497,32,002_SP -> 002_PP -> 003,2019/12/23,Qing-Lan Liu,1,
9497,33,003 -> 002_SP -> 002_PP,2019/12/23,Qing-Lan Liu,1,
9497,34,002_SP -> 002_PP -> 003,2019/12/23,Qing-Lan Liu,1,
9497,35,002_SP -> 002_PP -> 003,2019/12/23,Qing-Lan Liu,1,
9497,36,002_SP -> 002_PP -> 003,2019/12/23,Qing-Lan Liu,1,
9497,37,002_SP -> 002_PP -> 003,2019/12/23,Qing-Lan Liu,1,
9497,38,003 -> 002_SP -> 002_PP,2019/12/23,Qing-Lan Liu,1,
9497,39,002_SP -> 002_PP -> 003,2019/12/24,gantaotao,1,
9497,40,003 -> 002_SP -> 002_PP,2019/12/24,gantaotao,1,
9497,41,003 -> 002_SP -> 002_PP,2019/12/24,gantaotao,1,
9497,42,002_SP -> 002_PP -> 003,2019/12/24,gantaotao,1,
9497,43,002_SP -> 002_PP -> 003,2019/12/24,gantaotao,1,
9497,44,003 -> 002_SP -> 002_PP,2019/12/24,gantaotao,1,
9497,45,003 -> 002_SP -> 002_PP,2019/12/24,gantaotao,1,
9497,46,003 -> 002_SP -> 002_PP,2019/12/24,gantaotao,1,
9497,47,003 -> 002_SP -> 002_PP,2019/12/24,gantaotao,1,
9497,48,003 -> 002_SP -> 002_PP,2019/12/24,gantaotao,1,
9497,49,003 -> 002_SP -> 002_PP,2019/12/24,gantaotao,1,
9497,50,003 -> 002_SP -> 002_PP,2019/12/25,Qing-Lan Liu,1,
