"ID","N","BF"
1,1,1
2,1,1
3,3,1.72253377315274
4,4,3.2517204614853
5,5,4.49009425830336
6,6,4.62946977269047
7,7,8.99665429797112
8,8,1.39099321037715
9,9,1.77355383976723
10,10,1.72799045607958
11,11,2.43468042544616
12,12,3.04371823480345
13,13,1.92826050115393
14,14,2.25047602705016
15,15,2.64055862531948
16,16,2.55818430176002
17,17,3.84377327480942
18,18,2.78353710714437
19,19,3.89185156348926
20,20,3.41499186185716
21,21,3.902437008813
22,22,2.95500822054941
23,23,3.52750341889806
24,24,1.17929730548664
25,25,1.35167689272928
26,26,1.38549578462629
27,27,0.715852388900895
28,28,0.701774360676371
29,29,0.756483220795725
30,30,0.804314202730912
31,31,0.546751015153937
32,32,0.724700079026823
33,33,0.61420059449104
34,34,0.697094194579613
35,35,0.868694954867752
36,36,0.794085499345794
37,37,0.988478577273854
38,38,0.758577812135378
39,39,0.603823801590885
40,40,0.47385176110095
41,41,0.43639053633306
42,42,0.508683208225634
43,43,0.474527567899112
44,44,0.571258931260648
45,45,0.574952699312785
46,46,0.493639412413148
47,47,0.483476881473413
48,48,0.494820490070696
49,49,0.716927014170307
50,50,0.621795744419175
