SEED,SUBJID,Sequence,DATE,SIGN,round,note
8517,1,002_SP -> 002_PP -> 003,"23 Nov 2019, 15.15",ASP,1,
8517,2,002_SP -> 002_PP -> 003,"23 Nov 2019, 20.57",CK,1,
8517,3,003 -> 002_SP -> 002_PP,"24 Nov 2019, 17.47",CK,1,
8517,4,003 -> 002_SP -> 002_PP,"24 Nov 2019, 18.17",ASP,1,"Wrong choice, Correct sequence"
8517,5,003 -> 002_SP -> 002_PP,"24 Nov 2019, 21.46",ASP,1,"Wrong choice, Correct sequence"
8517,6,003 -> 002_SP -> 002_PP,"25 Nov 2019, 14.40",ASP,1,
8517,7,003 -> 002_SP -> 002_PP,"26 Nov 2019, 16.00",ASP,1,
8517,8,003 -> 002_SP -> 002_PP,"27 Nov 2019, 14.10","ASP",1,
8517,9,002_SP -> 002_PP -> 003,"27 Nov 2019, 14.51","ASP",1,
8517,10,003 -> 002_SP -> 002_PP,"27 Nov 2019, 15.20","ASP",1,
8517,11,002_SP -> 002_PP -> 003,"28 Nov 2019, 16.38","ASP",1,
8517,12,002_SP -> 002_PP -> 003,"28 Nov 2019, 17.12","ASP",1,
8517,13,003 -> 002_SP -> 002_PP,"28 Nov 2019, 20.53","ASP",1,
8517,14,002_SP -> 002_PP -> 003,"30 Nov 2019,12.09","CK",1,
8517,15,002_SP -> 002_PP -> 003,"30 Nov 2019 20.31","ASP",1,
8517,16,002_SP -> 002_PP -> 003,"30 Nov 2019, 20.52","ASP",1,
8517,17,002_SP -> 002_PP -> 003,"30 Nov 2019, 21.14","ASP",1,
8517,18,003 -> 002_SP -> 002_PP,"30 Nov 2019, 21.34","ASP",1,
8517,19,002_SP -> 002_PP -> 003,"30 Nov 2019,22.18" ,"ASP",1,
8517,20,003 -> 002_SP -> 002_PP,"30 Nov 2019, 22.40","ASP",1,
8517,21,002_SP -> 002_PP -> 003,"3 Dec 2019, 11.30","ASP",1,
8517,22,003 -> 002_SP -> 002_PP,"3 Dec 2019, 13.35","CK",1,
8517,23,003 -> 002_SP -> 002_PP,"3 Dec 2019, 14.34","ASP",1,
8517,24,002_SP -> 002_PP -> 003,"10 Dec 2019, 13.50","CK",1,
8517,25,003 -> 002_SP -> 002_PP,"10 Dec 2019, 15.00","CK",1,
8517,26,003 -> 002_SP -> 002_PP,"10 Dec 2019, 15.40","CK",1,
8517,27,002_SP -> 002_PP -> 003,"10 Dec 2019, 16.30","CK",1,
8517,28,002_SP -> 002_PP -> 003,"12 Dec 2019, 16.40","CK",1,
8517,29,002_SP -> 002_PP -> 003,"12 Dec 2019, 20.30","ASP",1,
8517,30,003 -> 002_SP -> 002_PP,"13 Dec 2019, 14.38","ASP",1,
8517,31,003 -> 002_SP -> 002_PP,"13 Dec 2019, 15.18","ASP",1,
8517,32,003 -> 002_SP -> 002_PP,"13 Dec 2019, 15.38","ASP",1,
8517,33,002_SP -> 002_PP -> 003,"13 Dec 2019, 16.12","ASP",1,
8517,34,003 -> 002_SP -> 002_PP,"13 Dec 2019, 16.48","ASP",1,
8517,35,002_SP -> 002_PP -> 003,"15 Dec 2019, 19.08","CK",1,"Wrong choice, Correct sequence"
8517,36,003 -> 002_SP -> 002_PP,"15 Dec 2019, 19.33","CK",1,
8517,37,003 -> 002_SP -> 002_PP,"15 Dec 2019, 19.53","CK",1,
8517,38,003 -> 002_SP -> 002_PP,"17 Dec 2019, 18.45","ASP",1,"no SP data flie"
8517,39,003 -> 002_SP -> 002_PP,"19 Dec 2019, 10.53","ASP",1,"no SP data flie"
