SEED,SUBJID,Sequence,DATE,SIGN,round,note
1183,1,002_SP -> 002_PP -> 003,23.12.2019,BP,1,revise empty ID
1183,2,003 -> 002_SP -> 002_PP,25.12.2019,SP,1,"wrong ID,  run again"
1183,3,002_SP -> 002_PP -> 003,23.12.2019,NP,1,
1183,4,002_SP -> 002_PP -> 003,23.12.2019,BP,1,
1183,5,002_SP -> 002_PP -> 003,23.12.2019,NP,1,revise wrong ID
1183,6,002_SP -> 002_PP -> 003,23.12.2019,SP,1,
1183,7,002_SP -> 002_PP -> 003,23.12.2019,BP,1,
1183,8,002_SP -> 002_PP -> 003,23.12.2019,NP,1,
1183,9,003 -> 002_SP -> 002_PP,23.12.2019,BP,1,
1183,10,003 -> 002_SP -> 002_PP,23.12.2019,SP,1,from wrong ID 002
1183,11,002_SP -> 002_PP -> 003,23.12.2019,PK,1,
1183,12,003 -> 002_SP -> 002_PP,23.12.2019,SP,1,"Wrong choice, Correct sequence"
1183,13,003 -> 002_SP -> 002_PP,23.12.2019,BP,1,
1183,14,003 -> 002_SP -> 002_PP,23.12.2019,NP,1,
1183,15,002_SP -> 002_PP -> 003,23.12.2019,SP,1,
1183,16,002_SP -> 002_PP -> 003,23.12.2019,BP,1,
1183,17,003 -> 002_SP -> 002_PP,23.12.2019,PK,1,
1183,18,002_SP -> 002_PP -> 003,23.12.2019,NP,1,
1183,19,002_SP -> 002_PP -> 003,23.12.2019,SP,1,
1183,20,003 -> 002_SP -> 002_PP,23.12.2019,BP,1,
1183,21,003 -> 002_SP -> 002_PP,23.12.2019,PK,1,
1183,22,002_SP -> 002_PP -> 003,23.12.2019,PC,1,
1183,23,002_SP -> 002_PP -> 003,23.12.2019,BP,1,
1183,24,002_SP -> 002_PP -> 003,23.12.2019,MMS,1,
1183,25,003 -> 002_SP -> 002_PP,23.12.2019,SP,1,
1183,26,002_SP -> 002_PP -> 003,23.12.2019,BP,1,
1183,27,002_SP -> 002_PP -> 003,23.12.2019,NP,1,
1183,28,002_SP -> 002_PP -> 003,23.12.2019,PK,1,
1183,29,003 -> 002_SP -> 002_PP,24.12.2019,PC,1,
1183,30,002_SP -> 002_PP -> 003,24.12.2019,PC,1,
1183,31,002_SP -> 002_PP -> 003,24.12.2019,BP,1,
1183,32,003 -> 002_SP -> 002_PP,24.12.2019,NP,1,
1183,33,002_SP -> 002_PP -> 003,24.12.2019,SP,1,
1183,34,003 -> 002_SP -> 002_PP,24.12.2019,PC,1,
1183,35,003 -> 002_SP -> 002_PP,24.12.2019,BP,1,
1183,36,002_SP -> 002_PP -> 003,24.12.2019,SP,1,
1183,37,003 -> 002_SP -> 002_PP,23.12.2019,SP,1,from wrong ID 010
1183,38,003 -> 002_SP -> 002_PP,24.12.2019,NP,1,
1183,39,003 -> 002_SP -> 002_PP,24.12.2019,BP,1,
1183,40,003 -> 002_SP -> 002_PP,24.12.2019,SP,1,
1183,41,003 -> 002_SP -> 002_PP,24.12.2019,NP,1,
