"ID","N","BF"
1,1,1
3,1,1
4,3,0.24322790203992
5,4,0.265158965139581
6,5,0.205390524439865
7,6,0.175990515010526
8,7,0.149058686248008
9,8,0.133218507220369
10,9,0.116766892260818
11,10,0.103707111134898
12,11,0.113191756437581
13,12,0.107945447856764
14,13,0.119616923144452
15,14,0.121338324529135
16,15,0.153447437231584
17,16,0.162661385265946
18,17,0.161190888474773
19,18,0.147821529629891
20,19,0.136860179051919
21,20,0.122731984378733
22,21,0.117144008997506
23,22,0.131034994941042
24,23,0.117040654518961
25,24,0.107073023340377
26,25,0.132670274174921
27,26,0.129641016666014
28,27,0.136956575281153
29,28,0.131338901892687
30,29,0.139018580290139
31,30,0.133501191187092
32,31,0.159220755740483
33,32,0.12172502473028
34,33,0.13048377845008
35,34,0.129333204263397
36,35,0.117901811514931
37,36,0.112036752276818
38,37,0.10837172255622
39,38,0.133422857985399
40,39,0.126834293829095
41,40,0.120537888887826
42,41,0.107260450589895
43,42,0.118439788514551
44,43,0.123215662739942
45,44,0.144150584464052
46,45,0.143912658460262
47,46,0.144620457364509
48,47,0.108395183119367
49,48,0.0996290214473031
50,49,0.0841086484514124
51,50,0.117760176996705
52,51,0.104862808747478
53,52,0.0998370278586054
54,53,0.093935562851738
56,54,0.0883840538027159
57,55,0.0771447500662192
58,56,0.0879005908088362
59,57,0.0737929518067371
60,58,0.0700992368197725
61,59,0.0678546483461003
62,60,0.0658098711802779
63,61,0.0702084556011911
64,62,0.0714516478218707
65,63,0.0762575477833942
66,64,0.0771954777215368
67,65,0.0907583170560033
68,66,0.088514735335893
69,67,0.0938815858589321
70,68,0.0955819417229378
71,69,0.0919569022498699
72,70,0.0794941746216012
73,71,0.0807087301556306
74,72,0.0804818384437074
75,73,0.0755618412951671
76,74,0.0737487002582658
77,75,0.066619522533367
78,76,0.0693659468024505
79,77,0.0864422937080015
80,78,0.087593719775524
81,79,0.0911406267914744
82,80,0.0850507810166037
83,81,0.0775249750231596
84,82,0.0874364181876803
85,83,0.0890768575044753
86,84,0.0873909303020007
87,85,0.0836480154023782
88,86,0.0783788013929731
89,87,0.0820573166226813
90,88,0.0781011291874717
91,89,0.0770833229353289
92,90,0.0727044499587211
93,91,0.0707292557772135
94,92,0.0678051318022207
95,93,0.0689572525107697
96,94,0.076003359025855
97,95,0.075288177514169
98,96,0.0780870370131909
100,97,0.0799006311145615
