SEED;SUBJID;Sequence;DATE;SIGN;round;Note;
9317;1;003 -> 002_SP -> 002_PP;3.12.2019 14:00;PK;1;;
9317;2;003 -> 002_SP -> 002_PP;3.12.2019 14:00;PK;1;;
9317;3;003 -> 002_SP -> 002_PP;3.12.2019 16:20;PK;1;Wrong choice, Correct sequence;
9317;4;002_SP -> 002_PP -> 003;3.12.2019 14:00;PK;1;;
9317;5;002_SP -> 002_PP -> 003;3.12.2019 14:00;PK;1;;
9317;6;003 -> 002_SP -> 002_PP;3.12.2019 14:00;PK;1;Wrong choice, Correct sequence;
9317;7;002_SP -> 002_PP -> 003;3.12.2019 14:00;PK;1;;
9317;8;002_SP -> 002_PP -> 003;3.12.2019 14:00;PK;1;;
9317;9;002_SP -> 002_PP -> 003;3.12.2019 14:00;PK;1;;
9317;10;002_SP -> 002_PP -> 003;3.12.2019 14:00;PK;1;;
9317;11;002_SP -> 002_PP -> 003;3.12.2019 16:20;PK;1;;
9317;12;002_SP -> 002_PP -> 003;3.12.2019 16:20;PK;1;;
9317;13;003 -> 002_SP -> 002_PP;3.12.2019 14:00;PK;1;Wrong choice, Correct sequence;
9317;14;003 -> 002_SP -> 002_PP;3.12.2019 14:00;PK;1;Wrong choice, Correct sequence;
9317;15;003 -> 002_SP -> 002_PP;3.12.2019 14:00;PK;1;Wrong choice, Correct sequence;
9317;16;003 -> 002_SP -> 002_PP;3.12.2019 14:00;PK;1;Wrong choice, Correct sequence;
9317;17;002_SP -> 002_PP -> 003;3.12.2019 14:00;PK;1;;
9317;18;003 -> 002_SP -> 002_PP;3.12.2019 14:00;PK;1;;
9317;19;003 -> 002_SP -> 002_PP;10.12.2019 21:00;PK;1;Substitute for particinpat number 19, for PP crashed;
9317;20;003 -> 002_SP -> 002_PP;4.12.2019 15:50;PK;1;revise subject ID;
9317;21;002_SP -> 002_PP -> 003;3.12.2019 16:20;PK;1;;
9317;22;002_SP -> 002_PP -> 003;3.12.2019 16:20;PK;1;;
9317;23;003 -> 002_SP -> 002_PP;3.12.2019 16:20;PK;1;Wrong choice, Correct sequence;
9317;24;002_SP -> 002_PP -> 003;4.12.2019 15:50;PK;1;;
9317;25;002_SP -> 002_PP -> 003;3.12.2019 16:20;PK;1;;
9317;26;003 -> 002_SP -> 002_PP;4.12.2019 15:50;PK;1;;
9317;27;002_SP -> 002_PP -> 003;3.12.2019 16:20;PK;1;;
9317;28;002_SP -> 002_PP -> 003;3.12.2019 16:20;PK;1;;
9317;29;003 -> 002_SP -> 002_PP;4.12.2019 15:50;PK;1;;
9317;30;002_SP -> 002_PP -> 003;4.12.2019 15:50;PK;1;;
9317;31;002_SP -> 002_PP -> 003;4.12.2019 15:50;PK;1;;
9317;32;003 -> 002_SP -> 002_PP;4.12.2019 15:50;PK;1;;
9317;33;003 -> 002_SP -> 002_PP;4.12.2019 15:50;PK;1;;
9317;34;003 -> 002_SP -> 002_PP;4.12.2019 15:50;PK;1;;
9317;35;003 -> 002_SP -> 002_PP;4.12.2019 15:50;PK;1;;
9317;36;003 -> 002_SP -> 002_PP;4.12.2019 15:50;PK;1;;
9317;37;003 -> 002_SP -> 002_PP;4.12.2019 15:50;PK;1;Wrong choice, Correct sequence;revise subject ID
9317;38;003 -> 002_SP -> 002_PP;4.12.2019 17:50;PK;1;;
9317;39;002_SP -> 002_PP -> 003;4.12.2019 15:50;PK;1;;
9317;40;003 -> 002_SP -> 002_PP;4.12.2019 15:50;PK;1;Wrong choice, Correct sequence;
9317;41;003 -> 002_SP -> 002_PP;4.12.2019 17:50;PK;1;;
9317;42;003 -> 002_SP -> 002_PP;4.12.2019 17:50;PK;1;;
9317;43;002_SP -> 002_PP -> 003;4.12.2019 15:50;PK;1;;
9317;44;002_SP -> 002_PP -> 003;4.12.2019 15:50;PK;1;;
9317;45;003 -> 002_SP -> 002_PP;4.12.2019 17:50;PK;1;;
9317;46;003 -> 002_SP -> 002_PP;4.12.2019 17:50;PK;1;;
9317;47;002_SP -> 002_PP -> 003;4.12.2019 15:50;PK;1;;
9317;48;002_SP -> 002_PP -> 003;4.12.2019 15:50;PK;1;;
9317;49;002_SP -> 002_PP -> 003;4.12.2019 17:50;PK;1;;
9317;50;003 -> 002_SP -> 002_PP;4.12.2019 16:50;PK;1;;
9317;51;002_SP -> 002_PP -> 003;9.12.2019 17:20;PK;2;;
9317;52;003 -> 002_SP -> 002_PP;4.12.2019 16:50;PK;2;;
9317;53;003 -> 002_SP -> 002_PP;4.12.2019 16:50;PK;2;;
9317;54;002_SP -> 002_PP -> 003;9.12.2019 20:50;PK;2;;
9317;55;003 -> 002_SP -> 002_PP;4.12.2019 16:50;PK;2;;
9317;56;002_SP -> 002_PP -> 003;9.12.2019 17:20;PK;2;;
9317;57;003 -> 002_SP -> 002_PP;4.12.2019 16:50;PK;2;;
9317;58;002_SP -> 002_PP -> 003;4.12.2019 16:50;PK;2;;
9317;59;003 -> 002_SP -> 002_PP;4.12.2019 16:50;PK;2;;
9317;60;003 -> 002_SP -> 002_PP;9.12.2019 17:20;PK;2;;
9317;61;002_SP -> 002_PP -> 003;4.12.2019 16:50;PK;2;;
9317;62;002_SP -> 002_PP -> 003;4.12.2019 16:50;PK;2;;
9317;63;002_SP -> 002_PP -> 003;4.12.2019 16:50;PK;2;;
9317;64;003 -> 002_SP -> 002_PP;9.12.2019 17:20;PK;2;;
9317;65;003 -> 002_SP -> 002_PP;9.12.2019 17:20;PK;2;;
9317;66;002_SP -> 002_PP -> 003;4.12.2019 16:50;PK;2;;
9317;67;003 -> 002_SP -> 002_PP;9.12.2019 17:20;PK;2;;
9317;68;002_SP -> 002_PP -> 003;4.12.2019 16:50;PK;2;;
9317;69;002_SP -> 002_PP -> 003;9.12.2019 17:20;PK;2;;
9317;70;003 -> 002_SP -> 002_PP;9.12.2019 17:20;PK;2;;
9317;71;002_SP -> 002_PP -> 003;9.12.2019 17:20;PK;2;;
9317;72;002_SP -> 002_PP -> 003;9.12.2019 17:20;PK;2;;
