SEED;SUBJID;Sequence;DATE;SIGN;round;Comments
6447;1;002_SP -> 002_PP -> 003;2019.10.02;;1;
6447;2;003 -> 002_SP -> 002_PP;2019.10.02;;1;reverse order
6447;3;003 -> 002_SP -> 002_PP;2019.10.04;;1;
6447;4;002_SP -> 002_PP -> 003;2019.10.02;;1;
6447;5;003 -> 002_SP -> 002_PP;2019.10.02;;1;reverse order
6447;6;002_SP -> 002_PP -> 003;2019.10.02;;1;
6447;7;003 -> 002_SP -> 002_PP;2019.10.02;;1;reverse order
6447;8;002_SP -> 002_PP -> 003;2019.10.02;;1;had to leave
6447;9;002_SP -> 002_PP -> 003;2019.10.02;;1;
6447;10;003 -> 002_SP -> 002_PP;2019.10.02;;1;reverse order
6447;11;002_SP -> 002_PP -> 003;2019.10.02;;1;
6447;12;003 -> 002_SP -> 002_PP;2019.10.02;;1;reverse order
6447;13;002_SP -> 002_PP -> 003;2019.10.02;;1;
6447;14;003 -> 002_SP -> 002_PP;2019.10.02;;1;reverse order
6447;15;003 -> 002_SP -> 002_PP;2019.10.02;;1;reverse order
6447;16;002_SP -> 002_PP -> 003;2019.10.02;;1;
6447;17;002_SP -> 002_PP -> 003;2019.10.02;;1;
6447;18;002_SP -> 002_PP -> 003;2019.10.02;;1;
6447;19;003 -> 002_SP -> 002_PP;2019.10.04;;1;
6447;20;002_SP -> 002_PP -> 003;2019.10.02;;1;
6447;21;002_SP -> 002_PP -> 003;2019.10.02;;1;SP crashed
6447;22;002_SP -> 002_PP -> 003;2019.10.02;;1;
6447;23;002_SP -> 002_PP -> 003;2019.10.02;;1;
6447;24;003 -> 002_SP -> 002_PP;2019.10.02;;1;reverse order
6447;25;003 -> 002_SP -> 002_PP;2019.10.02;;1;reverse order
6447;26;002_SP -> 002_PP -> 003;2019.10.02;;1;
6447;27;003 -> 002_SP -> 002_PP;2019.10.04;;1;
6447;28;002_SP -> 002_PP -> 003;2019.10.02;;1;
6447;29;002_SP -> 002_PP -> 003;2019.10.04;;1;
6447;30;003 -> 002_SP -> 002_PP;2019.10.02;;1;reverse order
6447;31;002_SP -> 002_PP -> 003;2019.10.04;;1;SP crashed
6447;32;002_SP -> 002_PP -> 003;2019.10.02;;1;
6447;33;003 -> 002_SP -> 002_PP;2019.10.02;;1;reverse order
6447;34;003 -> 002_SP -> 002_PP;2019.10.02;;1;reverse order
6447;35;002_SP -> 002_PP -> 003;2019.10.02;;1;
6447;36;002_SP -> 002_PP -> 003;2019.10.04;;1;
6447;37;003 -> 002_SP -> 002_PP;2019.10.04;;1;
6447;38;002_SP -> 002_PP -> 003;2019.10.07;;1;
6447;39;003 -> 002_SP -> 002_PP;2019.10.04;;1;
6447;40;003 -> 002_SP -> 002_PP;2019.10.04;;1;
6447;41;002_SP -> 002_PP -> 003;2019.10.04;;1;
6447;42;002_SP -> 002_PP -> 003;2019.10.04;;1;
6447;43;003 -> 002_SP -> 002_PP;2019.10.02;;1;
6447;44;002_SP -> 002_PP -> 003;2019.10.07;;1;
6447;45;003 -> 002_SP -> 002_PP;2019.10.07;;1;
6447;46;003 -> 002_SP -> 002_PP;2019.10.02;;1;
6447;47;002_SP -> 002_PP -> 003;2019.10.04;;1;
