"Identical","LAB_SEED","Orientation1","Orientation2","PPList","Picture1","Picture2","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_Pictures_response","correct_Start_TUR","correct_Target_response_Prac","correct_Welcome_PP_TUR","correct_count","correct_response","count_Check_This","count_Disable_Mouse","count_EXP","count_LAB_SEED","count_Language_Selection","count_List_Select","count_List_Selection","count_Pictures_Break","count_Pictures_End","count_Pictures_Exp","count_Pictures_Fixation","count_Pictures_Fixation_Prac","count_Pictures_Prac","count_Pictures_Start","count_Pictures_Target","count_Pictures_Trial","count_Pictures_Welcome","count_Pictures_loop","count_Pictures_response","count_Pictures_response_correct","count_Pictures_response_noans","count_Pictures_response_wrong","count_Prac","count_Prac_Count","count_Prac_Reset","count_Prac_Trial","count_Prac_loop","count_Prac_seq","count_Prac_setup","count_Start_DE","count_Start_E","count_Start_HUN","count_Start_NOR","count_Start_PL","count_Start_POR","count_Start_SC","count_Start_TC","count_Start_THAI","count_Start_TUR","count_Target_Prac","count_Target_response_Prac","count_Target_response_correct_Prac","count_Target_response_noans_Prac","count_Target_response_wrong_Prac","count_Trial_logger","count_Welcome_PP_DE","count_Welcome_PP_E","count_Welcome_PP_HUN","count_Welcome_PP_NOR","count_Welcome_PP_PL","count_Welcome_PP_POR","count_Welcome_PP_SC","count_Welcome_PP_TC","count_Welcome_PP_THAI","count_Welcome_PP_TUR","datetime","de","description","disable_garbage_collection","empty_column","en","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","height","hun","keyboard_backend","live_row","live_row_Pictures_loop","live_row_Prac","live_row_Prac_loop","logfile","mouse_backend","nor","opensesame_codename","opensesame_version","osf_always_upload_experiment","osf_id","pol","por","repeat_cycle","reset_loop","response","response_Pictures_Break","response_Pictures_End","response_Pictures_response","response_Start_DE","response_Start_E","response_Start_HUN","response_Start_NOR","response_Start_PL","response_Start_POR","response_Start_SC","response_Start_TC","response_Start_THAI","response_Start_TUR","response_Target_response_Prac","response_Welcome_PP_DE","response_Welcome_PP_E","response_Welcome_PP_HUN","response_Welcome_PP_NOR","response_Welcome_PP_PL","response_Welcome_PP_POR","response_Welcome_PP_SC","response_Welcome_PP_TC","response_Welcome_PP_THAI","response_Welcome_PP_TUR","response_time","response_time_Pictures_Break","response_time_Pictures_End","response_time_Pictures_response","response_time_Start_DE","response_time_Start_E","response_time_Start_HUN","response_time_Start_NOR","response_time_Start_PL","response_time_Start_POR","response_time_Start_SC","response_time_Start_TC","response_time_Start_THAI","response_time_Start_TUR","response_time_Target_response_Prac","response_time_Welcome_PP_DE","response_time_Welcome_PP_E","response_time_Welcome_PP_HUN","response_time_Welcome_PP_NOR","response_time_Welcome_PP_PL","response_time_Welcome_PP_POR","response_time_Welcome_PP_SC","response_time_Welcome_PP_TC","response_time_Welcome_PP_THAI","response_time_Welcome_PP_TUR","round_decimals","sampler_backend","sc","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","tc","thai","time_Check_This","time_Disable_Mouse","time_EXP","time_LAB_SEED","time_Language_Selection","time_List_Select","time_List_Selection","time_Pictures_Break","time_Pictures_End","time_Pictures_Exp","time_Pictures_Fixation","time_Pictures_Fixation_Prac","time_Pictures_Prac","time_Pictures_Start","time_Pictures_Target","time_Pictures_Trial","time_Pictures_Welcome","time_Pictures_loop","time_Pictures_response","time_Pictures_response_correct","time_Pictures_response_noans","time_Pictures_response_wrong","time_Prac","time_Prac_Count","time_Prac_Reset","time_Prac_Trial","time_Prac_loop","time_Prac_seq","time_Prac_setup","time_Start_DE","time_Start_E","time_Start_HUN","time_Start_NOR","time_Start_PL","time_Start_POR","time_Start_SC","time_Start_TC","time_Start_THAI","time_Start_TUR","time_Target_Prac","time_Target_response_Prac","time_Target_response_correct_Prac","time_Target_response_noans_Prac","time_Target_response_wrong_Prac","time_Trial_logger","time_Welcome_PP_DE","time_Welcome_PP_E","time_Welcome_PP_HUN","time_Welcome_PP_NOR","time_Welcome_PP_PL","time_Welcome_PP_POR","time_Welcome_PP_SC","time_Welcome_PP_TC","time_Welcome_PP_THAI","time_Welcome_PP_TUR","title","total_correct","total_response_time","total_responses","tur","uniform_coordinates","width"
"F","3024","F","F","PP_LIST3.csv","spider.jpg","couch.jpg","100","100","889.380952381","889.380952381","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","14","0","14","5","0","0","14","14","0","0","14","14","14","14","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","14","0","0","0","0","0","0","0","0","0","0","11/27/19 20:50:07","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\BELEMİR\Downloads","no","chinese-japanese-korean","no","18","no","#0000ff","no","Türkçe","yes","768","no","legacy","14","14","1","5","C:/Users/BELEMİR/Desktop/raw data/[TUR_007]_SP_[007].csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","f","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","707","NA","NA","707","NA","NA","NA","NA","NA","NA","NA","NA","NA","1294","665","NA","NA","NA","NA","NA","NA","NA","NA","NA","4165","2","legacy","no","1024","2","48000","-16","EXP","7","odd","no","no","NA","14720","7353","7354","12702","14706","14706","NA","NA","31936","61841","28906","18900","30626","62346","61839","14720","31936","62346","63056","34718","NA","18901","30576","18922","28904","18922","18922","18901","NA","NA","NA","NA","NA","NA","NA","NA","NA","30629","29409","29409","30076","NA","NA","63556","NA","NA","NA","NA","NA","NA","NA","NA","NA","14723","Orientation_PSA2018","21","18677","21","yes","yes","1024"
"F","3024","F","F","PP_LIST3.csv","pumpkin.jpg","trmpet.jpg","100","100","881.090909091","881.090909091","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","15","0","15","5","0","0","15","15","0","0","15","15","15","15","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","15","0","0","0","0","0","0","0","0","0","0","11/27/19 20:50:07","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\BELEMİR\Downloads","no","chinese-japanese-korean","no","18","no","#0000ff","no","Türkçe","yes","768","no","legacy","15","15","1","5","C:/Users/BELEMİR/Desktop/raw data/[TUR_007]_SP_[007].csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","f","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","707","NA","NA","707","NA","NA","NA","NA","NA","NA","NA","NA","NA","1294","665","NA","NA","NA","NA","NA","NA","NA","NA","NA","4165","2","legacy","no","1024","2","48000","-16","EXP","7","odd","no","no","NA","14720","7353","7354","12702","14706","14706","NA","NA","31936","63705","28906","18900","30626","64207","63703","14720","31936","64207","64917","34718","NA","18901","30576","18922","28904","18922","18922","18901","NA","NA","NA","NA","NA","NA","NA","NA","NA","30629","29409","29409","30076","NA","NA","65417","NA","NA","NA","NA","NA","NA","NA","NA","NA","14723","Orientation_PSA2018","22","19384","22","yes","yes","1024"
"N","3024","V","H","PP_LIST3.csv","caterpillarV.jpg","caterpillarH.jpg","100","100","868.086956522","868.086956522","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","16","0","16","5","0","0","16","16","0","0","16","16","16","16","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","16","0","0","0","0","0","0","0","0","0","0","11/27/19 20:50:07","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\BELEMİR\Downloads","no","chinese-japanese-korean","no","18","no","#0000ff","no","Türkçe","yes","768","no","legacy","16","16","1","5","C:/Users/BELEMİR/Desktop/raw data/[TUR_007]_SP_[007].csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","j","NA","NA","j","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","582","NA","NA","582","NA","NA","NA","NA","NA","NA","NA","NA","NA","1294","665","NA","NA","NA","NA","NA","NA","NA","NA","NA","4165","2","legacy","no","1024","2","48000","-16","EXP","7","odd","no","no","NA","14720","7353","7354","12702","14706","14706","NA","NA","31936","65575","28906","18900","30626","66077","65573","14720","31936","66077","66662","34718","NA","18901","30576","18922","28904","18922","18922","18901","NA","NA","NA","NA","NA","NA","NA","NA","NA","30629","29409","29409","30076","NA","NA","67162","NA","NA","NA","NA","NA","NA","NA","NA","NA","14723","Orientation_PSA2018","23","19966","23","yes","yes","1024"
"F","3024","F","F","PP_LIST3.csv","piano.jpg","sutcse.jpg","100","100","856.333333333","856.333333333","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","17","0","17","5","0","0","17","17","0","0","17","17","17","17","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","17","0","0","0","0","0","0","0","0","0","0","11/27/19 20:50:07","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\BELEMİR\Downloads","no","chinese-japanese-korean","no","18","no","#0000ff","no","Türkçe","yes","768","no","legacy","17","17","1","5","C:/Users/BELEMİR/Desktop/raw data/[TUR_007]_SP_[007].csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","f","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","586","NA","NA","586","NA","NA","NA","NA","NA","NA","NA","NA","NA","1294","665","NA","NA","NA","NA","NA","NA","NA","NA","NA","4165","2","legacy","no","1024","2","48000","-16","EXP","7","odd","no","no","NA","14720","7353","7354","12702","14706","14706","NA","NA","31936","67310","28906","18900","30626","67812","67307","14720","31936","67812","68400","34718","NA","18901","30576","18922","28904","18922","18922","18901","NA","NA","NA","NA","NA","NA","NA","NA","NA","30629","29409","29409","30076","NA","NA","68900","NA","NA","NA","NA","NA","NA","NA","NA","NA","14723","Orientation_PSA2018","24","20552","24","yes","yes","1024"
"F","3024","F","F","PP_LIST3.csv","stove.jpg","ftball.jpg","100","100","846.4","846.4","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","18","0","18","5","0","0","18","18","0","0","18","18","18","18","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","18","0","0","0","0","0","0","0","0","0","0","11/27/19 20:50:07","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\BELEMİR\Downloads","no","chinese-japanese-korean","no","18","no","#0000ff","no","Türkçe","yes","768","no","legacy","18","18","1","5","C:/Users/BELEMİR/Desktop/raw data/[TUR_007]_SP_[007].csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","f","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","608","NA","NA","608","NA","NA","NA","NA","NA","NA","NA","NA","NA","1294","665","NA","NA","NA","NA","NA","NA","NA","NA","NA","4165","2","legacy","no","1024","2","48000","-16","EXP","7","odd","no","no","NA","14720","7353","7354","12702","14706","14706","NA","NA","31936","69046","28906","18900","30626","69552","69044","14720","31936","69552","70163","34718","NA","18901","30576","18922","28904","18922","18922","18901","NA","NA","NA","NA","NA","NA","NA","NA","NA","30629","29409","29409","30076","NA","NA","70663","NA","NA","NA","NA","NA","NA","NA","NA","NA","14723","Orientation_PSA2018","25","21160","25","yes","yes","1024"
"F","3024","F","F","PP_LIST3.csv","knife.jpg","ladder.jpg","100","100","851.346153846","851.346153846","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","NA","19","0","19","5","0","0","19","19","0","0","19","19","19","19","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","19","0","0","0","0","0","0","0","0","0","0","11/27/19 20:50:07","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\BELEMİR\Downloads","no","chinese-japanese-korean","no","18","no","#0000ff","no","Türkçe","yes","768","no","legacy","19","19","1","5","C:/Users/BELEMİR/Desktop/raw data/[TUR_007]_SP_[007].csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","f","NA","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","975","NA","NA","975","NA","NA","NA","NA","NA","NA","NA","NA","NA","1294","665","NA","NA","NA","NA","NA","NA","NA","NA","NA","4165","2","legacy","no","1024","2","48000","-16","EXP","7","odd","no","no","NA","14720","7353","7354","12702","14706","14706","NA","NA","31936","70809","28906","18900","30626","71311","70807","14720","31936","71311","72288","34718","NA","18901","30576","18922","28904","18922","18922","18901","NA","NA","NA","NA","NA","NA","NA","NA","NA","30629","29409","29409","30076","NA","NA","72788","NA","NA","NA","NA","NA","NA","NA","NA","NA","14723","Orientation_PSA2018","26","22135","26","yes","yes","1024"
"N","3024","H","V","PP_LIST3.csv","bottleH.jpg","bottleV.jpg","100","100","844.888888889","844.888888889","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","20","0","20","5","0","0","20","20","0","0","20","20","20","20","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","20","0","0","0","0","0","0","0","0","0","0","11/27/19 20:50:07","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\BELEMİR\Downloads","no","chinese-japanese-korean","no","18","no","#0000ff","no","Türkçe","yes","768","no","legacy","20","20","1","5","C:/Users/BELEMİR/Desktop/raw data/[TUR_007]_SP_[007].csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","j","NA","NA","j","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","677","NA","NA","677","NA","NA","NA","NA","NA","NA","NA","NA","NA","1294","665","NA","NA","NA","NA","NA","NA","NA","NA","NA","4165","2","legacy","no","1024","2","48000","-16","EXP","7","odd","no","no","NA","14720","7353","7354","12702","14706","14706","NA","NA","31936","72940","28906","18900","30626","73442","72937","14720","31936","73442","74122","34718","NA","18901","30576","18922","28904","18922","18922","18901","NA","NA","NA","NA","NA","NA","NA","NA","NA","30629","29409","29409","30076","NA","NA","74622","NA","NA","NA","NA","NA","NA","NA","NA","NA","14723","Orientation_PSA2018","27","22812","27","yes","yes","1024"
"Y","3024","V","V","PP_LIST3.csv","scssorV.jpg","scssorV.jpg","100","100","842.535714286","842.535714286","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","21","0","21","5","0","0","21","21","0","0","21","21","21","21","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","21","0","0","0","0","0","0","0","0","0","0","11/27/19 20:50:07","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\BELEMİR\Downloads","no","chinese-japanese-korean","no","18","no","#0000ff","no","Türkçe","yes","768","no","legacy","21","21","1","5","C:/Users/BELEMİR/Desktop/raw data/[TUR_007]_SP_[007].csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","j","NA","NA","j","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","779","NA","NA","779","NA","NA","NA","NA","NA","NA","NA","NA","NA","1294","665","NA","NA","NA","NA","NA","NA","NA","NA","NA","4165","2","legacy","no","1024","2","48000","-16","EXP","7","odd","no","no","NA","14720","7353","7354","12702","14706","14706","NA","NA","31936","74781","28906","18900","30626","75283","74778","14720","31936","75283","76065","34718","NA","18901","30576","18922","28904","18922","18922","18901","NA","NA","NA","NA","NA","NA","NA","NA","NA","30629","29409","29409","30076","NA","NA","76565","NA","NA","NA","NA","NA","NA","NA","NA","NA","14723","Orientation_PSA2018","28","23591","28","yes","yes","1024"
"Y","3024","V","V","PP_LIST3.csv","screwV.jpg","screwV.jpg","100","100","834.655172414","834.655172414","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","22","0","22","5","0","0","22","22","0","0","22","22","22","22","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","22","0","0","0","0","0","0","0","0","0","0","11/27/19 20:50:07","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\BELEMİR\Downloads","no","chinese-japanese-korean","no","18","no","#0000ff","no","Türkçe","yes","768","no","legacy","22","22","1","5","C:/Users/BELEMİR/Desktop/raw data/[TUR_007]_SP_[007].csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","j","NA","NA","j","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","614","NA","NA","614","NA","NA","NA","NA","NA","NA","NA","NA","NA","1294","665","NA","NA","NA","NA","NA","NA","NA","NA","NA","4165","2","legacy","no","1024","2","48000","-16","EXP","7","odd","no","no","NA","14720","7353","7354","12702","14706","14706","NA","NA","31936","76722","28906","18900","30626","77226","76719","14720","31936","77226","77843","34718","NA","18901","30576","18922","28904","18922","18922","18901","NA","NA","NA","NA","NA","NA","NA","NA","NA","30629","29409","29409","30076","NA","NA","78343","NA","NA","NA","NA","NA","NA","NA","NA","NA","14723","Orientation_PSA2018","29","24205","29","yes","yes","1024"
"Y","3024","V","V","PP_LIST3.csv","tireV.jpg","tireV.jpg","100","100","830.533333333","830.533333333","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","NA","23","0","23","5","0","0","23","23","0","0","23","23","23","23","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","23","0","0","0","0","0","0","0","0","0","0","11/27/19 20:50:07","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\BELEMİR\Downloads","no","chinese-japanese-korean","no","18","no","#0000ff","no","Türkçe","yes","768","no","legacy","23","23","1","5","C:/Users/BELEMİR/Desktop/raw data/[TUR_007]_SP_[007].csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","j","NA","NA","j","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","711","NA","NA","711","NA","NA","NA","NA","NA","NA","NA","NA","NA","1294","665","NA","NA","NA","NA","NA","NA","NA","NA","NA","4165","2","legacy","no","1024","2","48000","-16","EXP","7","odd","no","no","NA","14720","7353","7354","12702","14706","14706","NA","NA","31936","78489","28906","18900","30626","78991","78487","14720","31936","78991","79705","34718","NA","18901","30576","18922","28904","18922","18922","18901","NA","NA","NA","NA","NA","NA","NA","NA","NA","30629","29409","29409","30076","NA","NA","80205","NA","NA","NA","NA","NA","NA","NA","NA","NA","14723","Orientation_PSA2018","30","24916","30","yes","yes","1024"
"F","3024","F","F","PP_LIST3.csv","tapedispenser.jpg","wrench.jpg","100","100","582","582","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","0","24","0","24","5","0","0","24","24","0","0","24","24","24","24","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","24","0","0","0","0","0","0","0","0","0","0","11/27/19 20:50:07","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\BELEMİR\Downloads","no","chinese-japanese-korean","no","18","no","#0000ff","no","Türkçe","yes","768","no","legacy","24","24","1","5","C:/Users/BELEMİR/Desktop/raw data/[TUR_007]_SP_[007].csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","f","space","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","582","1020","NA","582","NA","NA","NA","NA","NA","NA","NA","NA","NA","1294","665","NA","NA","NA","NA","NA","NA","NA","NA","NA","4165","2","legacy","no","1024","2","48000","-16","EXP","7","odd","no","no","NA","14720","7353","7354","12702","14706","14706","80270","NA","31936","81420","28906","18900","30626","81924","81418","14720","31936","81925","82509","34718","NA","18901","30576","18922","28904","18922","18922","18901","NA","NA","NA","NA","NA","NA","NA","NA","NA","30629","29409","29409","30076","NA","NA","83009","NA","NA","NA","NA","NA","NA","NA","NA","NA","14723","Orientation_PSA2018","1","582","1","yes","yes","1024"
"N","3024","H","V","PP_LIST3.csv","broomH.jpg","broomV.jpg","100","100","670","670","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","j","0","0","0","0","0","0","0","0","25","0","25","5","0","0","25","25","0","0","25","25","25","25","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","25","0","0","0","0","0","0","0","0","0","0","11/27/19 20:50:07","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\BELEMİR\Downloads","no","chinese-japanese-korean","no","18","no","#0000ff","no","Türkçe","yes","768","no","legacy","25","25","1","5","C:/Users/BELEMİR/Desktop/raw data/[TUR_007]_SP_[007].csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","j","space","NA","j","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","758","1020","NA","758","NA","NA","NA","NA","NA","NA","NA","NA","NA","1294","665","NA","NA","NA","NA","NA","NA","NA","NA","NA","4165","2","legacy","no","1024","2","48000","-16","EXP","7","odd","no","no","NA","14720","7353","7354","12702","14706","14706","80270","NA","31936","83164","28906","18900","30626","83667","83163","14720","31936","83667","84427","34718","NA","18901","30576","18922","28904","18922","18922","18901","NA","NA","NA","NA","NA","NA","NA","NA","NA","30629","29409","29409","30076","NA","NA","84927","NA","NA","NA","NA","NA","NA","NA","NA","NA","14723","Orientation_PSA2018","2","1340","2","yes","yes","1024"
"F","3024","F","F","PP_LIST3.csv","watch.jpg","skirt.jpg","100","100","617.666666667","617.666666667","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","0","26","0","26","5","0","0","26","26","0","0","26","26","26","26","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","26","0","0","0","0","0","0","0","0","0","0","11/27/19 20:50:07","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\BELEMİR\Downloads","no","chinese-japanese-korean","no","18","no","#0000ff","no","Türkçe","yes","768","no","legacy","26","26","1","5","C:/Users/BELEMİR/Desktop/raw data/[TUR_007]_SP_[007].csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","f","space","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","513","1020","NA","513","NA","NA","NA","NA","NA","NA","NA","NA","NA","1294","665","NA","NA","NA","NA","NA","NA","NA","NA","NA","4165","2","legacy","no","1024","2","48000","-16","EXP","7","odd","no","no","NA","14720","7353","7354","12702","14706","14706","80270","NA","31936","85062","28906","18900","30626","85564","85060","14720","31936","85564","86079","34718","NA","18901","30576","18922","28904","18922","18922","18901","NA","NA","NA","NA","NA","NA","NA","NA","NA","30629","29409","29409","30076","NA","NA","86579","NA","NA","NA","NA","NA","NA","NA","NA","NA","14723","Orientation_PSA2018","3","1853","3","yes","yes","1024"
"F","3024","F","F","PP_LIST3.csv","wndmil.jpg","mitten.jpg","100","100","610.5","610.5","#ffffff","yes","legacy","legacy","legacy","0","uniform","1","1","undefined","1","undefined","6","f","0","0","0","0","0","0","0","0","27","0","27","5","0","0","27","27","0","0","27","27","27","27","0","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","5","5","5","27","0","0","0","0","0","0","0","0","0","0","11/27/19 20:50:07","no","Matching Tasks","yes","","no","OrientationCrossLanguages_2018PSA_PP_1.2.4.osexp","C:\Users\BELEMİR\Downloads","no","chinese-japanese-korean","no","18","no","#0000ff","no","Türkçe","yes","768","no","legacy","27","27","1","5","C:/Users/BELEMİR/Desktop/raw data/[TUR_007]_SP_[007].csv","legacy","no","Kafkaesque Koffka","3.2.8","yes","5a7ce671e83246000deafe81","no","no","0","0","f","space","NA","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","f","NA","NA","NA","NA","NA","NA","NA","NA","NA","space","589","1020","NA","589","NA","NA","NA","NA","NA","NA","NA","NA","NA","1294","665","NA","NA","NA","NA","NA","NA","NA","NA","NA","4165","2","legacy","no","1024","2","48000","-16","EXP","7","odd","no","no","NA","14720","7353","7354","12702","14706","14706","80270","NA","31936","86724","28906","18900","30626","87227","86722","14720","31936","87227","87820","34718","NA","18901","30576","18922","28904","18922","18922","18901","NA","NA","NA","NA","NA","NA","NA","NA","NA","30629","29409","29409","30076","NA","NA","88320","NA","NA","NA","NA","NA","NA","NA","NA","NA","14723","Orientation_PSA2018","4","2442","4","yes","yes","1024"
